Train,Test
92.27,84.7
91.3,83.55
90.09,8.83
86.31,85.17
91.91,42.36
90.32,86.04
88.17,83.33
93.75,93.65
86.59,88.4
92.61,57.39
87.69,78.58
91.9,88.57
85.15,90.05
79.44,85.84
75.83,62.67
91.72,73.57
93.32,81.07
86.38,75.81
89.14,82.33
89.89,78.34
93.35,75.44
89.8,86.82
82.49,81.68
84.51,85.09
87.53,76.15
90.22,84.71
81.15,69.66
81.86,58.09
92.52,81.92
92.7,91.8
89.54,89.58
87.23,80.07
92.77,83.36
89.53,86.65
85.23,71.35
86.08,71.34
82.46,65.35
85.25,77.7
87.6,88.51
92.93,73.11
87.31,87.99
86.72,91.94
92.25,81.67
90.8,91.37
93.82,88.06
91.87,64.37
84.84,67.24
91.8,63.15
81.3,71.48
89.7,84.79
92.18,87.33
92.25,86.45
86.72,78.78
87.17,91.07
88.94,81.37
87.8,83.75
89.73,90.98
88.9,90.7
90.96,70.11
86.58,55.76
82.51,79.88
89.29,78.35
93.69,84.59
88.47,77.92
93.09,79.62
92.08,84.61
96.82,62.76
87.72,94.68
93.43,60.87
95.74,70.59
92.35,82.68
94.59,79.6
91.58,58.14
89.96,84.9
85.24,77.45
83.12,83.04
92.93,76.62
83.68,85.53
89.92,59.9
88.85,80.31
89.36,79.06
90.21,89.17
86.7,91.82
86.69,85.6
86.81,69.51
90.71,83.85
88.4,86.18
98.66,92.0
90.32,91.3
88.67,74.86
94.5,84.74
88.16,81.34
91.38,75.35
92.5,68.64
90.01,75.29
89.63,74.38
86.17,72.71
88.16,94.92
87.95,94.81
93.39,75.19
88.04,71.29
84.28,83.64
86.64,79.62
91.26,62.61
83.61,81.4
91.04,77.94
91.88,54.75
88.55,89.7
90.96,86.37
86.47,47.46
89.94,66.73
81.21,93.1
91.65,80.56
89.66,88.58
91.5,55.03
88.02,66.5
86.8,74.32
83.64,90.09
87.03,94.17
81.99,88.65
87.79,80.99
96.21,80.75
86.22,79.53
89.58,90.03
96.34,64.82
88.06,72.44
87.54,88.39
87.93,57.04
91.77,10.73
87.64,87.61
88.2,80.06
87.7,74.98
90.56,65.73
86.56,94.57
94.41,74.63
94.34,78.86
84.54,83.49
88.81,85.49
88.21,88.56
94.96,85.7
76.0,88.62
93.59,93.79
84.58,80.1
89.96,91.52
89.53,88.53
91.38,74.96
91.39,78.96
78.76,73.94
93.63,64.05
88.38,80.89
85.25,87.3
85.04,87.77
85.48,79.91
91.81,85.69
94.17,49.13
86.33,80.86
92.38,82.18
92.86,75.46
94.58,86.01
85.63,74.95
92.5,95.3
92.5,86.94
82.93,75.28
86.06,89.14
92.44,62.1
91.75,81.73
96.65,80.43
91.22,82.01
87.02,81.08
93.03,83.17
84.13,75.18
87.83,80.06
87.32,80.66
80.2,88.29
89.3,90.48
92.88,62.99
89.55,76.04
79.89,73.81
82.39,86.6
88.05,54.44
91.74,72.87
