Train,Test
96.53,83.01
88.31,65.95
90.16,72.28
82.69,69.35
91.66,83.9
87.48,73.83
92.21,45.48
87.23,84.63
84.99,87.38
85.99,91.72
93.76,77.12
88.7,61.92
88.09,92.25
95.01,26.36
85.7,74.67
88.18,75.83
85.44,81.79
90.49,73.44
91.17,80.83
84.19,84.61
85.96,83.53
91.73,73.57
81.54,86.84
89.67,83.43
92.72,81.55
90.77,69.62
88.86,70.46
96.78,67.8
88.45,66.74
85.63,72.5
89.86,88.98
93.3,81.48
84.96,62.91
82.29,76.78
76.47,75.56
88.8,94.93
89.81,82.52
81.88,71.84
79.86,76.8
96.51,78.26
92.0,91.1
80.38,78.45
84.73,80.4
90.78,74.03
81.08,81.22
89.5,81.45
86.66,85.23
89.89,88.25
83.39,72.08
95.93,61.37
88.19,59.8
80.0,92.35
87.9,86.87
82.86,91.99
91.5,92.77
88.67,81.86
86.43,87.41
91.57,85.89
83.28,83.05
89.84,91.79
85.66,92.54
90.77,84.54
80.61,64.44
88.91,81.83
84.87,81.7
91.12,90.16
83.12,53.0
93.56,75.97
94.69,43.56
86.88,78.03
86.62,53.64
91.6,81.73
92.19,76.72
85.28,79.97
91.68,68.28
92.11,87.89
94.25,92.41
96.46,63.11
90.81,58.34
84.19,65.94
85.38,87.22
89.16,70.8
93.43,63.17
92.8,92.18
87.11,79.45
83.68,91.41
85.34,85.18
89.51,76.9
89.21,79.35
96.84,72.92
91.55,78.81
92.12,92.52
90.54,67.0
90.02,92.44
90.33,81.93
93.27,80.06
88.88,47.2
86.43,79.76
87.06,85.25
85.32,88.38
91.23,68.71
95.06,87.99
89.35,81.87
92.18,76.73
79.14,80.23
90.63,79.85
84.32,84.97
84.32,89.16
81.87,57.11
87.25,81.58
79.42,83.01
91.0,84.12
85.71,76.52
86.71,73.85
90.44,93.11
90.15,79.67
88.02,79.4
88.31,89.0
83.03,66.23
95.0,82.26
93.12,72.33
88.67,88.91
91.86,95.48
88.34,72.81
91.32,62.5
82.57,83.4
92.0,84.26
89.11,88.34
82.55,80.47
83.35,86.59
86.41,92.66
93.12,52.89
84.53,74.28
94.08,73.96
83.69,77.29
90.26,86.19
78.43,86.62
96.35,76.02
90.6,77.28
85.41,83.97
87.98,90.14
93.29,79.65
88.45,77.64
85.03,77.91
90.06,89.47
93.79,91.16
95.81,-4.3
88.87,80.34
95.37,67.75
90.18,63.53
79.5,76.64
94.8,70.12
86.18,53.95
94.61,77.43
92.04,83.67
87.27,93.25
86.37,87.51
90.24,67.25
90.35,92.78
91.43,80.75
92.68,77.56
94.73,71.28
88.18,77.48
89.87,73.33
90.79,78.98
89.31,89.28
85.9,65.62
96.27,83.73
94.69,83.36
86.44,86.19
90.3,88.41
86.94,62.21
90.95,79.55
88.17,81.46
93.98,92.66
95.14,80.17
90.76,81.71
90.91,94.71
87.65,80.85
90.15,88.79
88.66,92.71
87.42,83.89
82.38,76.61
86.81,58.12
89.33,89.1
79.54,81.9
86.68,81.1
90.5,74.99
87.54,86.93
94.37,86.59
91.23,84.97
91.11,90.96
90.94,75.54
91.71,87.81
93.03,84.1
89.78,86.4
86.63,90.29
86.72,80.95
89.91,92.43
88.17,85.72
86.06,79.1
91.57,77.36
94.65,84.91
87.04,59.35
84.95,68.36
83.77,86.67
85.28,87.63
90.33,77.58
87.85,87.96
86.28,67.28
95.35,69.93
91.22,89.82
90.26,79.37
90.11,84.57
90.14,70.75
87.37,72.23
92.8,88.5
90.68,74.96
98.65,77.1
91.8,60.32
86.07,73.99
89.61,81.65
92.08,65.51
87.53,60.75
87.82,91.82
90.38,59.78
91.57,77.71
90.72,61.58
83.48,86.34
91.28,77.8
94.15,82.64
98.24,60.88
95.75,75.44
91.48,91.18
93.41,82.66
93.23,89.39
91.06,82.83
83.72,83.8
86.06,85.28
83.57,75.41
94.45,89.43
90.96,86.48
87.93,58.02
92.42,89.82
86.28,72.37
88.12,81.13
90.74,75.66
87.49,78.29
92.43,85.66
90.02,81.41
90.73,50.78
91.12,79.13
90.55,80.97
86.56,87.71
87.39,85.25
90.12,81.22
95.73,8.21
92.61,40.95
90.76,78.1
90.19,63.83
82.81,81.89
85.27,39.38
88.78,56.38
96.99,83.46
81.9,67.92
93.29,67.1
90.96,87.97
88.22,88.4
92.35,39.2
90.45,91.18
87.42,90.5
90.42,87.12
87.6,69.64
95.99,88.01
86.42,64.57
90.05,81.31
89.65,66.85
92.43,78.16
85.01,39.69
97.13,81.73
81.84,74.14
88.81,74.15
96.47,96.59
93.35,89.43
90.04,83.44
87.34,82.73
86.38,94.11
92.33,76.14
84.44,89.4
79.57,34.24
87.95,73.85
84.9,82.6
86.08,82.04
88.97,81.91
88.22,80.09
89.94,85.82
89.37,84.44
93.89,77.29
92.27,75.25
87.0,78.24
88.79,83.37
90.52,74.81
82.55,85.81
84.49,86.01
86.87,68.66
88.68,63.55
89.77,72.42
86.1,83.0
88.24,62.18
89.58,76.51
86.82,84.82
98.29,85.43
91.98,74.97
95.86,79.69
92.75,60.32
91.76,76.29
83.76,85.03
89.76,53.06
87.84,79.59
95.2,80.6
86.98,80.21
84.14,86.43
93.65,89.2
91.7,66.58
95.58,53.46
97.96,61.98
94.21,75.44
87.8,90.84
96.21,19.03
84.67,81.51
96.15,51.98
92.92,81.06
91.04,84.43
87.62,47.31
97.49,24.35
92.35,55.75
93.2,81.67
88.06,68.79
78.7,86.07
