Train,Test
90.55,86.19
90.1,59.75
89.13,90.02
88.49,92.15
87.01,53.21
89.46,83.42
90.46,95.75
81.61,87.09
84.17,83.83
87.95,60.53
90.09,85.14
89.22,85.07
89.85,85.42
85.24,85.81
87.94,74.97
90.55,89.57
92.45,66.4
93.65,70.72
90.23,75.16
87.54,80.44
92.09,84.17
94.61,-4.94
88.29,82.15
83.75,76.12
84.29,39.32
89.28,-6.17
87.83,90.11
85.38,77.29
92.84,82.33
90.19,84.28
89.03,78.53
85.44,77.41
92.28,63.36
93.16,77.93
92.69,76.11
88.55,88.89
86.95,93.86
91.15,82.09
84.13,87.16
87.03,91.81
92.08,70.52
93.66,88.41
87.89,39.8
84.48,84.37
91.78,72.2
83.44,90.83
92.59,68.96
89.29,93.15
91.27,85.64
95.18,81.42
88.09,85.03
86.22,89.82
84.16,82.14
83.53,80.12
88.75,88.18
87.13,89.78
83.27,81.66
88.88,41.79
86.08,80.74
93.03,74.69
90.43,40.29
86.96,79.72
91.27,85.31
91.03,83.32
93.74,85.09
93.16,93.68
92.7,91.21
80.81,59.73
89.04,67.15
89.65,77.93
84.23,88.59
88.86,72.42
85.48,87.97
85.33,78.32
88.57,71.72
89.01,92.02
89.57,72.53
96.06,33.56
93.19,75.48
86.25,76.14
90.52,81.59
90.94,89.16
87.69,82.43
91.27,85.6
87.37,84.28
82.85,89.05
84.87,85.5
88.72,86.87
77.59,92.94
88.09,80.77
85.17,86.22
89.46,88.94
93.61,86.58
88.76,82.58
88.12,74.82
89.76,91.51
90.52,80.03
89.48,57.4
92.9,90.65
91.03,84.14
