Train,Test
82.42,61.91
72.74,-82.93
84.67,67.0
80.55,82.21
72.14,23.78
64.09,39.74
84.77,13.77
86.54,49.65
73.34,79.56
75.62,75.48
80.7,87.69
77.2,11.38
74.49,70.77
88.79,49.08
76.76,60.94
73.16,71.75
88.71,61.78
83.65,-2.07
80.68,79.56
86.89,75.03
82.23,71.97
66.52,59.42
77.49,49.21
75.36,65.89
86.32,67.58
79.83,44.12
87.48,52.62
84.39,68.55
76.89,74.54
87.72,60.8
72.59,79.12
82.12,38.27
67.22,45.64
89.91,45.86
83.56,47.46
88.51,36.21
92.9,66.98
79.44,47.85
77.08,45.64
73.75,53.44
86.28,78.36
76.63,72.53
72.25,65.73
80.05,-23.49
84.26,69.55
91.65,75.47
79.8,50.4
74.54,53.45
69.47,74.51
81.58,81.24
74.18,71.81
72.89,71.19
84.36,42.62
75.05,79.84
86.46,44.91
83.42,75.27
91.32,56.86
86.12,-104.29
68.85,77.01
80.85,47.93
65.44,79.54
82.07,46.61
74.07,80.0
74.55,77.4
90.22,57.85
86.52,35.12
84.71,46.66
71.24,28.56
87.32,79.95
66.21,50.12
83.18,31.13
82.02,64.63
83.57,82.63
79.9,56.63
69.62,14.38
79.28,83.62
83.27,83.14
88.15,49.75
87.76,-14.89
84.03,80.71
70.31,81.8
73.28,44.65
88.29,68.42
63.9,24.7
85.18,68.46
70.93,66.19
86.76,73.58
92.81,46.75
78.36,35.74
71.44,36.34
78.09,23.49
80.65,71.55
83.31,81.04
91.93,75.7
78.59,43.82
76.87,8.23
65.84,53.11
85.54,9.17
72.0,59.1
83.88,55.57
72.18,47.2
82.22,-19.33
71.11,72.4
72.94,70.04
86.3,-6.01
72.61,19.27
76.62,64.27
83.49,62.54
88.07,59.94
76.8,44.16
65.36,55.24
85.67,14.78
82.37,36.77
76.56,66.38
76.29,32.57
85.82,55.26
65.37,34.76
62.95,46.41
77.33,73.97
74.49,78.33
82.72,43.63
76.89,36.72
81.59,72.06
77.24,46.54
88.15,26.12
88.51,71.45
83.13,68.57
77.5,11.94
83.76,54.73
68.53,41.19
50.91,61.88
77.0,43.35
82.38,57.41
74.22,55.9
71.69,75.87
86.06,-4.34
68.7,30.13
78.64,73.49
71.51,68.33
77.87,64.52
94.98,76.64
77.1,46.34
78.31,65.86
61.26,25.42
79.23,47.88
64.06,65.29
86.19,83.37
77.43,81.21
83.94,75.7
86.13,54.03
74.31,70.76
87.68,-33.2
82.66,36.99
75.92,44.36
72.44,81.23
88.43,81.25
75.74,79.04
68.87,31.77
78.6,53.09
84.82,64.45
83.58,50.92
69.2,40.15
86.69,59.09
91.67,29.47
54.7,67.79
80.24,81.98
86.58,0.62
74.24,76.19
80.52,72.0
87.48,55.35
68.53,44.1
73.73,48.58
79.91,56.96
83.78,64.71
89.74,45.69
82.39,63.62
71.97,56.46
77.07,-53.03
74.88,53.95
87.93,-60.31
71.34,16.01
86.4,40.31
91.0,91.83
79.17,62.5
81.63,51.6
84.41,-95.79
86.03,63.33
83.37,52.54
74.61,59.61
76.52,74.64
77.4,54.84
85.52,23.49
89.48,75.42
82.51,-61.69
72.11,76.95
86.39,48.05
68.36,8.7
82.93,48.83
62.78,53.91
91.88,47.55
81.65,68.44
72.69,63.02
82.21,26.09
79.26,78.33
85.34,44.55
81.49,38.11
79.66,14.08
78.86,87.18
76.58,65.49
71.68,80.32
88.2,67.71
88.61,86.95
84.06,58.28
86.84,81.11
83.21,82.01
62.2,82.0
75.36,41.59
77.21,37.65
81.89,79.35
77.21,47.91
81.23,37.14
75.65,78.8
73.2,59.69
72.24,89.38
69.73,64.9
87.76,68.26
72.16,59.33
90.51,57.41
89.84,48.67
57.45,30.12
82.49,78.91
75.33,79.5
84.2,38.81
86.86,-60.68
81.29,51.42
49.96,40.62
84.65,83.34
67.79,80.59
79.77,39.78
85.02,60.53
70.35,72.6
85.88,84.12
82.5,66.88
83.42,60.07
74.26,61.14
86.66,-21.64
90.02,60.5
76.59,54.42
70.6,-7.86
56.47,45.1
82.25,69.22
76.7,46.5
70.64,44.95
86.43,22.23
89.58,67.22
85.41,72.32
75.36,73.91
62.42,78.82
85.58,42.26
83.43,46.31
78.17,19.3
63.85,70.41
74.66,22.71
86.32,29.52
71.72,14.5
69.59,83.28
71.26,74.78
78.53,39.1
74.72,63.58
63.47,78.89
74.37,70.93
75.86,44.53
64.59,49.54
65.6,69.36
83.23,31.37
89.41,-34.73
66.39,57.06
61.51,77.34
60.53,68.26
75.13,53.08
83.0,3.99
82.29,80.95
84.7,47.84
78.21,60.69
75.76,34.08
86.02,57.07
81.75,49.1
89.72,74.38
81.45,78.89
80.25,49.61
81.54,35.58
85.67,-1.65
68.9,-7.1
86.48,75.75
78.0,81.21
87.61,11.29
77.93,4.31
83.33,28.32
79.35,80.01
74.88,67.67
91.05,33.21
80.81,16.93
70.5,52.84
75.86,54.74
87.88,53.81
78.28,30.45
81.31,-12.05
76.68,72.57
92.62,68.83
84.15,36.38
90.98,66.75
64.1,56.04
84.84,86.26
85.89,34.18
79.66,69.67
77.85,26.71
77.04,69.27
88.27,-69.07
75.37,80.93
79.33,84.96
77.88,79.07
81.79,44.29
85.73,2.93
93.86,-6.09
77.25,-75.07
75.84,48.19
89.23,54.08
88.61,49.43
75.17,64.61
84.88,87.17
84.12,37.57
82.47,71.61
80.13,49.32
74.13,71.1
77.32,44.98
89.87,79.67
89.15,41.68
61.13,31.0
76.73,77.77
84.69,19.29
60.37,65.55
66.37,65.73
74.79,42.73
77.44,47.97
83.87,45.71
82.38,-27.58
85.97,73.41
72.1,15.76
73.09,84.72
77.99,32.02
78.97,71.95
89.7,-5.55
88.46,67.18
81.04,66.96
78.43,76.18
69.39,41.51
89.87,75.63
72.02,75.19
84.3,89.11
85.65,89.67
73.28,76.52
84.59,42.14
71.9,35.24
71.68,72.7
79.82,42.37
78.8,77.92
73.18,60.46
87.34,66.08
81.38,65.65
88.12,90.12
81.59,55.15
88.02,71.16
67.82,81.31
68.46,41.93
89.51,77.48
82.14,54.2
83.99,51.51
84.25,56.89
79.8,65.94
84.18,89.91
86.3,58.14
82.3,71.19
87.76,9.2
80.07,34.7
87.08,93.76
91.21,48.65
90.46,-32.75
84.52,54.26
76.51,71.73
70.47,17.26
57.14,80.11
86.55,-7.99
74.01,38.78
78.88,67.99
81.3,33.91
76.73,71.72
85.6,-47.04
70.91,28.77
76.1,58.11
79.99,71.04
78.3,49.93
85.27,16.58
77.52,84.87
90.58,83.35
59.95,78.03
93.22,56.28
85.05,-38.27
93.83,70.21
75.06,77.5
86.82,73.88
63.38,73.87
84.6,45.07
87.57,-12.83
81.86,33.93
79.43,71.8
82.03,80.72
77.82,61.64
84.98,52.05
75.88,69.95
83.07,41.23
88.68,65.85
85.39,73.45
88.19,54.42
74.82,55.59
81.34,57.03
84.39,52.13
72.73,-0.44
87.66,87.7
91.85,-253.77
79.45,59.01
81.03,54.26
68.55,71.27
86.5,31.67
82.07,58.84
83.37,53.36
77.5,67.93
80.23,-15.1
75.05,50.74
75.59,67.6
78.48,52.99
83.2,75.14
83.04,51.92
78.08,79.05
90.28,67.84
66.11,48.78
76.64,78.62
74.9,30.89
83.12,35.83
81.71,1.74
80.75,-73.49
81.57,64.91
77.77,87.96
82.44,2.59
81.26,64.63
85.66,74.93
76.38,83.11
60.47,79.19
75.0,59.89
84.39,86.81
81.42,68.68
83.55,85.42
78.16,52.21
90.4,13.14
83.13,32.46
80.74,88.85
83.37,70.86
82.06,85.99
79.71,69.91
79.25,58.78
85.85,69.67
72.27,57.65
63.64,79.4
71.93,56.31
83.44,-16.66
80.9,69.62
84.89,75.83
86.74,34.68
71.95,73.65
70.53,81.84
77.15,35.29
83.71,48.12
82.9,55.99
72.17,33.87
81.9,49.4
81.22,65.98
80.62,22.42
92.04,39.15
88.48,77.86
92.16,72.66
84.22,67.3
77.77,54.89
82.27,86.29
77.7,70.07
84.01,76.33
78.76,62.25
83.08,31.08
63.04,61.08
83.91,-11.11
84.07,40.52
71.88,44.89
80.17,60.89
82.31,-0.1
91.94,77.28
80.5,51.33
79.53,11.63
84.2,82.02
79.97,23.28
72.62,69.5
82.69,58.85
92.69,50.98
74.66,71.9
76.14,67.84
78.85,50.22
86.8,60.28
77.32,65.92
86.85,61.86
84.08,32.13
71.82,53.72
85.69,86.14
57.71,81.84
84.05,56.99
83.5,27.15
86.02,81.79
78.51,49.58
78.04,45.99
78.34,50.27
83.56,51.17
76.8,58.68
75.99,50.88
84.42,41.33
85.74,41.63
84.97,65.59
78.85,59.47
80.23,61.16
86.47,68.19
