Train,Test
86.97,65.18
83.89,49.47
84.16,61.31
85.38,87.78
86.03,73.0
91.13,74.46
82.79,93.5
86.92,78.63
90.31,39.16
85.97,80.06
86.86,86.63
93.94,62.12
87.76,78.34
75.23,76.93
74.73,82.69
82.24,79.25
88.39,65.15
81.24,67.25
85.67,84.43
86.89,86.84
87.78,79.58
89.0,76.7
80.92,62.86
86.47,56.87
81.88,77.82
90.33,57.04
88.52,55.65
91.96,74.48
91.13,67.94
87.57,78.05
81.9,39.39
83.63,43.71
80.5,64.53
81.55,84.31
81.52,74.63
91.22,67.49
87.01,72.86
89.13,60.75
86.62,81.66
88.42,64.64
86.2,37.94
87.77,90.66
90.28,74.58
94.2,76.87
92.27,71.57
88.06,95.25
84.1,68.14
87.84,82.81
80.46,86.6
82.39,68.16
94.34,-1.76
87.14,65.2
88.24,87.4
87.09,55.61
91.0,50.19
80.79,86.7
87.58,76.93
80.1,70.65
82.73,84.34
86.09,60.32
85.19,64.9
88.42,30.52
82.71,87.09
94.5,76.89
90.86,68.95
88.85,52.0
85.19,77.33
84.31,91.11
93.19,87.87
89.9,29.01
80.09,80.01
89.14,47.9
92.78,87.6
91.64,79.34
89.24,26.02
85.34,62.52
76.49,75.51
91.12,89.24
87.74,82.41
82.18,69.99
80.92,81.02
80.94,84.84
83.35,64.14
86.12,82.1
87.86,8.74
82.92,73.72
85.57,49.31
80.61,77.4
89.49,81.0
85.96,79.71
76.09,22.86
76.95,78.21
84.85,76.36
79.2,77.14
92.07,91.98
91.54,68.29
80.16,70.37
88.7,71.68
94.04,51.82
85.73,86.26
90.74,50.09
92.95,70.94
90.44,74.34
90.31,90.03
91.35,81.49
91.19,81.07
94.66,73.83
85.66,79.94
92.68,88.81
87.6,76.17
83.94,79.51
76.97,83.04
77.05,84.18
86.06,32.17
87.56,73.87
85.34,55.66
91.97,57.33
72.44,88.68
88.03,64.71
80.35,74.3
84.97,89.41
74.98,83.89
85.92,81.43
87.04,95.36
78.26,82.54
85.83,81.46
93.88,69.95
92.84,56.78
81.37,82.09
82.84,80.04
82.42,78.96
87.07,45.08
92.1,83.5
86.01,74.38
84.21,90.84
87.06,65.06
83.92,88.6
89.97,71.18
84.53,-28.77
76.73,62.21
88.2,83.5
82.84,68.77
96.98,78.04
93.92,87.3
90.87,68.88
82.24,89.78
82.0,69.43
93.94,82.11
89.34,81.48
95.07,90.58
80.23,57.32
88.71,71.66
88.0,77.79
75.84,83.72
88.01,84.98
88.76,82.55
88.46,85.48
72.87,86.9
86.31,44.91
83.7,78.31
89.27,63.55
91.43,48.12
93.23,74.58
79.17,62.85
85.75,84.27
88.71,80.33
74.67,75.36
90.65,71.26
88.38,39.33
90.73,48.38
89.82,73.0
86.43,81.55
82.8,57.85
90.3,24.7
87.62,94.84
91.16,85.4
83.83,84.63
75.95,74.18
87.99,69.24
85.26,64.27
79.87,86.6
90.31,86.74
89.94,88.08
89.39,80.33
83.65,82.73
87.55,81.15
90.58,70.58
83.0,25.92
85.14,64.47
94.94,78.22
88.15,62.87
88.02,81.24
92.93,87.94
77.03,90.53
83.09,92.5
85.99,47.82
82.37,61.52
89.02,51.21
85.83,69.85
85.91,90.48
91.49,31.99
88.29,10.72
73.43,75.04
89.29,63.66
89.38,90.04
89.98,42.43
86.36,77.74
85.13,74.33
79.68,72.44
83.09,84.63
93.24,42.02
84.7,74.16
82.6,91.56
88.94,57.83
84.95,81.11
88.47,78.06
86.42,50.2
90.08,76.78
90.42,68.75
87.36,77.72
89.1,68.49
93.16,70.27
84.9,79.2
87.68,70.97
89.91,75.81
83.85,72.33
82.79,73.0
85.28,85.31
89.09,73.56
87.07,74.56
89.09,87.49
89.41,60.95
83.51,71.36
88.43,93.09
90.27,79.64
83.85,77.75
92.89,54.27
88.22,72.95
95.44,82.66
83.19,71.51
85.56,61.58
86.08,79.41
74.31,79.52
86.13,71.3
91.27,83.96
82.34,47.09
86.02,33.02
86.77,87.41
95.22,85.96
93.4,88.94
89.66,86.93
89.94,37.76
93.25,83.95
83.07,77.05
87.62,91.32
81.24,82.59
87.49,72.76
82.56,63.35
85.28,-61.45
84.08,67.2
87.49,80.62
88.76,88.64
88.33,60.91
87.9,69.11
93.2,35.88
83.57,83.61
95.36,69.69
85.66,5.29
89.78,88.72
84.69,83.98
90.91,30.21
88.62,85.3
84.12,73.34
86.99,58.32
84.83,86.03
91.41,-89.53
81.57,85.98
86.33,80.34
82.74,83.71
85.46,90.64
91.29,83.2
94.47,51.24
81.26,82.05
92.47,75.82
93.12,66.55
90.2,68.53
85.77,83.89
90.17,76.95
91.28,82.9
88.33,78.67
84.42,88.71
83.49,75.83
86.5,61.19
79.33,81.34
92.01,-11.13
89.84,76.07
89.72,72.3
86.0,66.83
86.73,77.31
87.07,76.99
84.61,77.8
92.07,90.81
91.85,59.04
92.38,82.32
91.01,80.64
84.94,51.13
96.36,62.56
78.29,82.76
83.38,76.11
89.97,58.15
81.34,79.37
84.2,57.24
83.77,60.44
86.1,53.35
87.02,83.2
81.26,51.73
85.09,85.8
89.04,70.81
82.68,88.21
87.03,91.6
86.53,82.14
84.68,69.7
86.9,70.43
88.98,73.16
91.72,89.36
85.84,77.99
75.23,75.94
81.0,78.8
92.13,80.09
89.34,69.89
93.12,75.69
82.81,75.55
85.99,79.92
93.38,89.56
94.21,70.29
85.33,65.15
83.01,81.45
89.68,-21.22
91.24,88.98
82.71,71.47
84.58,70.68
81.19,73.64
91.14,75.16
93.12,84.1
94.55,61.11
78.57,79.13
90.33,73.6
86.49,72.6
89.47,59.73
97.68,67.01
89.58,90.47
89.66,81.51
76.09,77.13
84.19,26.71
83.01,81.42
85.64,68.46
81.99,56.11
86.82,61.59
76.81,84.12
90.43,82.48
88.33,78.85
87.29,67.3
77.84,59.6
88.08,79.21
89.64,72.89
90.05,76.84
87.44,75.63
95.14,62.74
82.76,78.5
87.82,68.0
86.93,89.39
87.28,44.48
89.95,90.18
79.99,41.09
83.97,66.29
81.18,72.94
84.58,68.27
76.96,79.52
86.26,73.66
81.0,77.18
90.51,47.74
85.83,75.98
87.57,21.67
88.39,76.4
85.51,85.96
91.34,82.64
89.34,72.56
79.95,84.27
92.1,60.18
92.17,64.07
89.0,91.53
89.24,60.23
80.97,90.99
92.54,79.64
84.87,86.8
85.04,89.13
81.87,54.96
84.0,77.17
81.02,68.61
83.57,57.57
83.67,80.9
83.26,57.13
89.06,82.11
91.07,89.08
86.3,72.12
85.34,82.05
84.49,82.65
90.21,77.93
80.59,65.27
84.07,71.17
81.64,89.08
92.6,72.31
82.02,88.47
92.69,81.6
94.01,55.06
91.24,74.39
87.83,77.04
87.9,50.64
88.08,74.23
86.61,73.04
89.02,70.96
84.31,85.0
91.66,45.89
87.67,73.95
87.96,74.04
80.23,20.9
89.94,71.9
89.34,72.45
84.44,78.78
92.71,66.74
84.3,52.68
89.46,-62.91
87.91,-52.47
94.78,8.12
84.79,89.17
86.02,86.25
79.84,60.59
92.1,-4.24
84.85,77.43
91.22,79.07
91.35,-20.44
84.87,81.53
88.69,69.59
84.62,61.94
81.68,83.1
79.87,76.64
94.01,60.96
80.8,79.28
90.76,90.18
89.12,43.63
83.49,19.41
79.65,82.99
92.31,36.28
84.43,90.48
80.43,75.72
80.83,81.4
84.63,73.04
84.35,79.41
84.74,79.26
87.39,48.77
93.29,27.37
86.04,82.87
76.25,51.84
77.53,72.51
84.29,74.53
81.53,51.88
83.67,70.78
78.01,74.68
87.92,69.91
78.55,77.69
83.71,81.25
82.53,49.38
91.59,78.41
82.82,77.07
84.39,71.85
90.94,83.13
88.0,75.63
91.72,52.81
82.98,84.62
89.32,68.02
85.71,76.69
84.93,53.72
88.36,84.28
84.6,74.48
93.21,80.62
82.93,56.33
82.0,76.9
83.29,82.13
80.56,-16.16
84.32,67.6
92.78,86.98
78.52,72.18
76.47,62.33
66.83,79.92
71.93,72.11
86.52,78.06
87.34,63.65
84.04,79.27
85.52,88.58
87.77,19.54
92.89,73.78
82.07,12.35
91.17,91.24
84.41,81.4
86.78,69.27
85.71,83.82
85.99,86.23
77.95,83.68
87.9,55.86
88.08,67.44
81.46,76.19
89.47,62.02
89.92,86.35
90.12,69.02
83.04,81.13
84.99,63.49
79.38,70.85
90.2,81.45
79.26,87.26
85.08,84.43
90.75,89.31
82.73,58.04
86.0,62.23
90.61,89.28
92.82,72.2
86.29,80.55
85.44,59.92
91.82,77.89
79.92,71.27
83.19,87.93
76.05,75.76
82.88,79.79
93.81,-15.42
95.12,76.02
88.24,83.52
79.67,84.83
89.75,80.9
85.23,74.92
76.5,85.77
88.95,76.9
82.74,91.43
91.23,75.24
83.63,75.62
85.2,88.15
90.52,28.71
83.69,85.3
87.44,73.91
87.18,78.64
84.84,80.13
74.06,68.21
93.39,73.89
81.54,61.77
93.32,-41.98
80.44,88.98
92.27,92.26
93.97,74.98
82.38,54.72
78.32,82.55
75.93,81.25
78.07,63.49
80.91,74.92
88.85,85.31
80.53,85.08
82.08,78.94
88.85,83.83
86.22,89.1
86.36,53.48
86.1,52.26
84.83,76.27
86.0,62.78
89.68,48.5
85.56,69.81
91.83,49.99
91.2,72.87
91.75,21.61
88.0,79.12
91.04,51.9
82.61,83.48
82.93,95.72
85.78,60.71
92.68,64.56
87.24,87.0
82.0,73.14
78.24,81.25
83.35,84.52
82.74,87.44
91.79,78.11
88.94,37.62
77.81,64.78
82.94,71.98
88.74,81.72
89.96,75.51
87.84,51.26
93.28,82.18
91.45,59.94
92.83,73.85
94.62,19.62
81.65,62.43
81.82,82.03
92.84,44.53
84.14,79.0
85.06,80.35
