Train,Test
83.52,50.52
85.14,79.2
81.59,80.3
78.63,78.04
82.84,72.52
82.0,83.09
85.01,8.67
90.94,83.4
89.91,6.1
78.44,60.21
89.12,70.32
92.06,78.51
89.89,71.55
84.99,69.37
85.67,67.34
63.84,62.0
89.85,58.94
85.13,73.46
89.41,47.87
83.84,50.23
73.27,8.94
81.7,58.56
83.41,32.79
86.17,47.65
81.71,-76.22
82.83,81.83
93.44,42.97
89.61,61.02
84.36,90.24
89.34,84.41
81.94,91.18
85.15,57.85
86.28,51.07
83.54,28.32
94.97,1.44
84.34,29.34
82.0,67.63
92.07,78.65
82.89,52.09
84.08,75.47
77.63,82.58
81.76,66.02
87.09,26.96
75.33,77.33
91.85,81.44
65.52,88.65
94.17,58.48
77.86,94.98
92.67,64.16
75.34,76.82
82.81,81.86
89.23,29.77
85.08,62.85
71.04,84.38
85.59,62.64
69.34,76.39
79.94,45.77
88.43,52.07
79.14,50.87
75.26,91.3
87.43,80.37
78.47,82.33
84.97,48.92
77.4,64.58
92.24,-63.9
79.39,39.13
81.85,64.55
87.15,61.68
66.87,69.06
90.9,73.67
83.05,69.19
85.2,16.86
87.6,53.03
72.54,54.24
93.96,33.74
76.86,86.97
88.07,-19.46
71.92,75.49
76.91,68.75
86.63,78.74
88.35,53.33
81.11,57.47
71.47,67.25
85.49,64.1
82.8,66.55
83.58,34.49
79.46,80.54
94.32,59.11
81.08,59.73
91.38,69.48
82.52,84.48
80.37,73.87
87.48,48.49
84.04,88.09
77.9,70.99
81.72,61.01
84.91,25.28
82.57,67.93
83.43,58.34
76.98,82.32
76.84,76.93
90.09,-9.08
75.95,72.28
85.48,7.64
74.94,63.76
73.41,74.95
88.35,78.42
77.33,49.62
77.14,58.46
88.06,60.71
77.39,32.23
88.31,60.45
84.8,82.69
79.58,74.53
75.22,28.57
77.35,51.18
88.17,51.2
94.26,66.68
84.11,36.29
91.04,48.03
87.94,83.66
81.38,-16.1
81.38,45.92
84.93,68.93
87.82,30.99
71.52,73.69
85.09,82.42
75.67,53.34
81.15,73.86
69.94,72.16
76.91,63.14
90.07,49.77
84.07,81.48
85.81,51.06
80.16,90.32
87.72,67.94
86.6,62.57
97.0,52.51
82.58,83.24
87.21,60.97
81.97,72.78
91.79,62.22
81.85,82.87
88.65,66.73
76.73,76.63
83.7,66.44
86.96,80.9
87.24,50.34
78.02,78.48
90.15,64.04
92.08,73.97
69.39,54.41
81.51,75.61
85.38,70.27
87.92,61.81
81.3,49.67
77.79,47.52
88.78,62.47
84.11,86.12
85.22,59.17
80.86,83.58
77.8,81.93
79.37,65.17
91.29,77.47
74.54,-110.54
75.34,74.95
76.26,46.18
80.47,80.47
91.18,65.51
89.24,66.64
83.19,21.46
84.13,74.18
83.98,79.21
77.48,91.22
79.15,54.38
77.26,68.84
90.08,57.39
87.96,85.93
86.98,89.29
82.64,72.99
87.65,71.35
89.54,67.08
83.17,56.85
75.68,34.4
84.6,40.48
90.24,50.08
75.22,78.39
84.22,77.57
88.19,78.93
75.46,65.46
80.9,40.67
80.41,36.27
74.33,70.49
90.62,76.3
88.63,80.97
86.78,74.83
75.5,79.27
84.59,68.84
73.52,75.33
73.96,78.12
68.37,76.88
88.18,71.26
85.82,56.23
76.65,62.91
76.83,66.76
83.27,47.06
71.0,63.9
84.78,75.86
75.29,60.05
81.13,84.67
81.43,77.08
90.87,59.4
86.51,85.45
87.38,78.23
83.24,68.97
89.51,32.89
87.77,6.17
83.4,88.46
89.33,62.27
74.1,66.09
84.18,80.16
86.32,52.37
77.44,68.25
91.11,-37.8
76.89,61.29
88.29,30.56
80.01,87.53
90.7,71.93
83.01,-34.68
86.52,62.02
87.93,76.39
78.0,81.06
69.3,82.92
85.07,25.05
83.49,82.25
83.73,63.88
75.92,68.51
81.95,70.49
83.04,75.42
82.6,70.25
77.3,87.98
79.8,62.44
71.31,56.1
78.77,41.43
83.5,79.71
81.44,51.44
85.09,76.53
85.94,63.83
81.36,54.94
84.63,64.66
81.64,34.86
92.61,64.05
86.33,69.78
73.83,72.14
83.32,67.77
75.18,-102.26
69.91,34.59
82.61,54.25
63.25,69.0
76.3,65.53
73.04,85.49
85.6,52.72
77.77,80.32
77.94,51.63
83.56,69.1
89.25,51.21
76.18,43.25
71.23,57.34
79.78,77.25
91.72,48.42
79.27,77.31
88.94,2.83
84.49,64.29
81.75,56.34
87.76,46.66
82.63,89.26
84.27,29.63
79.43,55.15
84.04,73.39
77.46,61.57
89.78,14.7
84.34,38.09
88.19,60.12
74.52,62.16
90.83,67.77
84.09,80.73
84.76,73.61
81.3,62.93
75.08,50.61
69.51,54.61
90.51,64.38
71.85,83.72
88.93,87.65
82.44,86.25
81.11,51.56
92.48,57.01
77.44,36.96
82.19,66.4
69.34,46.22
81.23,69.5
88.02,38.74
87.62,88.53
81.45,65.01
86.1,69.94
81.97,62.69
81.6,38.02
85.43,24.2
72.78,66.19
78.87,77.55
81.89,68.16
73.67,79.53
80.06,68.16
83.41,44.74
81.1,63.14
83.62,77.65
91.61,48.32
68.44,67.34
76.86,70.27
84.91,82.84
73.5,71.64
79.69,64.25
83.05,46.52
80.52,-17.11
88.11,70.52
81.81,68.98
87.69,29.6
86.08,69.22
92.96,63.84
75.52,55.15
89.3,-6.55
86.05,63.98
79.94,26.18
68.78,-0.94
86.59,11.74
82.8,73.09
86.21,44.32
83.64,-1.38
74.38,52.71
83.7,78.32
74.72,81.16
90.36,58.97
90.53,11.22
74.9,82.89
90.72,73.63
77.19,62.31
85.34,70.47
86.82,81.22
87.62,40.75
84.92,81.32
85.13,48.65
89.64,79.52
67.21,63.53
70.39,76.11
92.97,71.29
80.01,66.36
87.18,91.1
77.43,73.83
81.33,73.64
86.64,53.48
76.86,71.47
85.28,71.54
74.84,73.37
82.59,46.33
85.34,80.8
83.07,58.73
86.16,42.88
85.94,67.36
82.71,82.8
88.38,69.83
85.81,74.88
85.03,76.46
91.58,53.5
85.67,62.99
84.34,79.88
78.95,82.99
80.84,73.19
86.31,57.51
70.31,80.24
68.71,59.01
80.94,83.84
83.92,69.92
84.78,81.49
83.32,47.8
79.08,61.68
71.74,76.65
88.31,90.04
78.36,64.71
75.59,68.83
83.67,72.32
83.82,62.16
76.14,53.4
86.09,50.42
87.41,83.16
80.97,53.29
75.51,85.42
74.63,6.98
85.85,60.98
83.04,38.61
88.82,52.41
79.43,22.53
74.9,61.88
79.08,87.6
83.28,52.82
75.93,48.31
75.5,44.43
77.0,52.31
78.76,78.23
80.22,70.22
83.37,38.89
80.82,62.98
87.44,77.77
81.91,73.07
80.69,66.74
84.28,75.22
74.62,44.95
90.5,58.13
72.66,49.53
87.77,49.2
89.28,76.77
78.07,78.11
82.8,68.2
79.63,44.08
81.27,83.96
90.1,71.96
87.57,52.47
79.28,55.11
85.83,87.74
82.06,83.27
69.21,73.75
81.67,68.24
80.19,44.93
77.06,65.6
82.54,87.01
81.16,-39.88
91.67,53.95
81.31,43.11
80.77,79.79
85.19,49.51
76.75,71.82
79.41,41.75
83.95,81.16
88.93,76.54
78.03,75.94
86.69,66.37
70.45,83.24
71.44,37.24
93.35,79.87
76.57,49.52
82.59,61.93
78.06,56.9
87.07,68.63
81.76,58.9
85.86,64.53
84.38,6.32
83.99,83.95
82.49,44.8
77.78,87.0
82.36,73.51
72.73,53.87
81.2,72.09
78.29,28.73
79.59,79.41
92.66,21.09
92.38,70.23
80.79,75.91
71.19,70.86
73.43,59.6
73.96,52.16
74.27,72.24
94.03,-45.98
78.34,70.37
94.07,26.95
82.93,68.34
89.8,74.66
86.36,74.16
78.28,78.59
80.71,69.88
74.07,75.94
75.68,66.77
79.85,62.09
76.74,74.54
67.87,56.48
83.94,76.55
94.09,-5.25
74.63,75.85
82.93,55.42
84.73,49.13
80.02,72.35
87.17,52.54
75.67,71.44
93.75,76.94
81.32,55.45
77.86,85.86
82.12,59.38
88.54,83.56
82.28,69.49
74.84,85.88
87.61,64.7
86.1,54.88
80.89,85.64
79.17,86.68
87.41,58.45
73.64,53.79
90.17,-12.3
86.27,45.56
90.79,34.02
64.21,65.99
82.25,-117.4
86.61,75.87
88.61,79.89
86.37,43.09
86.24,62.36
82.23,82.53
85.05,68.92
86.43,39.46
81.55,62.46
83.89,53.98
75.49,81.34
84.5,84.43
83.01,58.77
83.04,54.1
87.5,3.78
77.18,79.75
89.25,41.32
84.71,68.13
75.54,17.64
79.46,36.14
73.63,80.19
81.5,57.59
86.62,68.54
86.71,81.67
86.56,12.16
85.41,80.87
75.66,74.0
83.5,37.29
80.74,62.22
93.57,56.29
86.64,68.71
84.77,74.62
81.35,60.61
89.71,-42.94
87.23,20.46
82.28,46.25
80.53,13.34
72.87,58.43
90.21,76.52
84.16,84.17
79.97,66.27
76.37,65.52
85.4,63.4
74.79,72.14
96.01,96.73
91.27,89.95
89.88,84.24
84.93,65.7
76.74,23.21
84.36,74.52
87.42,57.97
85.22,73.72
61.78,58.48
88.4,45.29
88.01,60.62
86.37,69.17
79.27,69.77
84.7,83.34
96.21,41.01
82.27,78.1
69.78,17.91
84.26,63.29
77.99,75.79
82.93,56.59
84.06,6.9
88.78,81.99
80.87,88.91
87.26,70.33
86.29,80.15
77.94,50.98
79.73,71.56
76.65,54.07
82.44,71.88
83.63,80.08
83.15,87.84
89.7,79.95
80.24,75.34
88.41,67.18
82.85,62.61
87.57,42.09
83.31,74.97
83.85,63.46
78.13,66.23
76.75,68.91
85.91,-68.55
79.29,82.79
72.13,79.83
78.24,82.4
87.39,88.95
77.7,87.06
93.06,67.16
85.54,68.87
88.53,31.77
71.44,64.8
75.36,83.57
90.24,83.66
84.51,-60.05
83.04,60.73
85.28,81.41
89.85,66.62
79.86,60.54
84.89,34.69
72.28,56.25
82.19,71.35
73.43,55.59
80.75,81.31
68.92,65.03
82.41,52.69
92.83,76.87
81.5,52.5
89.37,70.24
77.3,66.06
81.98,44.68
75.27,59.75
74.87,81.66
81.94,12.64
76.69,66.94
83.79,17.32
84.09,86.81
92.42,80.77
86.72,59.06
81.31,79.88
71.2,70.41
89.07,-27.26
82.59,58.33
73.76,25.26
85.59,22.63
89.31,29.97
76.69,58.41
70.72,80.03
67.66,63.27
88.03,63.51
84.43,81.26
84.41,80.89
85.94,83.08
79.53,7.68
89.68,-15.05
74.76,84.27
68.94,60.69
80.76,65.53
78.21,85.74
83.36,75.23
87.35,62.09
82.48,55.15
80.73,-7.82
84.21,71.41
77.76,64.02
70.52,48.94
84.76,63.91
93.6,66.55
95.2,79.05
81.47,57.91
80.66,-7.67
70.25,81.74
77.02,54.22
83.34,-7.22
68.59,71.05
73.02,59.21
89.72,58.22
73.8,66.91
77.06,62.9
81.67,49.0
80.4,83.38
77.81,70.25
77.26,82.4
89.22,59.97
87.41,-97.82
77.44,85.95
83.68,70.49
72.51,57.67
86.05,54.83
87.53,82.4
86.93,20.27
81.86,54.96
77.84,75.97
72.25,72.35
81.51,69.39
70.31,66.22
85.28,70.57
86.27,73.08
86.48,44.63
88.79,78.19
80.7,63.73
81.93,55.28
82.28,64.5
76.76,48.63
78.71,68.67
76.82,79.4
76.17,80.07
82.36,63.3
80.2,76.77
80.73,69.21
84.99,68.44
73.22,46.35
81.45,79.86
83.48,79.96
86.98,40.03
79.58,77.08
83.26,58.49
83.76,74.99
75.08,32.95
67.67,51.46
62.62,55.03
67.17,82.61
67.66,40.96
70.49,68.59
84.58,75.14
90.46,27.18
77.76,56.26
83.17,3.62
85.99,26.01
80.02,66.06
80.44,17.27
86.15,3.77
76.73,68.28
78.18,52.84
79.41,51.55
74.72,71.06
89.14,50.58
88.01,-0.61
84.91,72.39
77.08,64.17
79.15,66.6
87.49,25.25
83.49,57.84
86.73,11.15
82.75,73.93
89.72,62.01
69.87,44.77
79.98,72.62
88.0,82.1
70.92,34.21
88.4,56.82
88.03,30.81
81.13,54.16
80.51,73.98
89.06,41.41
88.55,22.75
78.08,44.31
80.66,81.58
86.24,58.04
87.24,27.55
74.18,73.69
76.61,61.6
80.65,45.93
74.47,73.62
82.04,74.04
82.0,72.48
89.47,65.69
85.81,66.62
88.72,76.44
94.56,65.33
81.29,72.67
76.01,77.74
87.07,76.05
78.52,57.8
90.69,67.03
74.11,64.0
90.12,76.3
76.34,-5.91
84.34,71.26
89.72,6.35
84.12,51.73
81.47,79.45
93.77,82.62
78.66,39.12
78.99,75.88
80.7,58.18
83.75,81.65
84.2,63.83
77.9,12.13
81.0,46.63
82.13,25.25
83.39,55.39
75.89,85.27
67.42,48.74
79.29,73.53
78.0,60.78
84.04,43.17
76.84,62.64
82.68,54.27
83.89,72.32
85.12,45.6
90.38,72.93
87.09,54.14
95.37,88.65
87.56,25.88
76.38,76.41
85.73,77.0
84.27,62.3
82.73,64.01
86.15,42.99
78.67,75.38
73.47,39.9
93.29,86.29
85.45,79.61
90.33,87.82
82.81,49.69
88.3,96.15
73.66,73.17
73.11,71.94
85.79,75.36
83.05,79.09
78.57,45.0
69.73,61.82
90.66,47.38
86.73,77.85
79.82,54.37
86.13,57.05
76.43,58.85
93.17,72.12
79.53,73.2
81.02,77.22
84.79,73.91
75.34,18.64
73.97,61.99
88.78,61.43
89.32,42.16
87.39,88.96
78.35,74.98
85.81,39.42
85.4,56.5
89.15,65.59
77.04,46.5
71.42,72.12
77.58,52.98
90.63,-6.65
79.34,29.16
86.7,80.33
83.69,77.52
81.89,26.66
83.66,76.62
85.03,40.93
90.62,73.48
86.67,68.97
82.6,47.56
79.4,50.1
82.99,67.28
78.69,80.29
92.12,65.65
88.85,81.46
80.09,63.06
91.43,5.04
85.03,51.47
85.47,71.93
84.66,38.55
86.15,23.54
82.29,83.74
76.04,63.82
85.3,82.41
77.61,66.11
83.04,75.86
76.3,67.38
87.2,-4.68
77.52,79.96
73.48,87.22
79.64,35.61
82.7,39.97
78.61,83.59
68.1,58.88
88.26,34.83
92.69,53.46
89.95,58.42
79.7,59.66
89.49,89.57
88.92,74.33
91.95,61.49
93.36,48.42
87.32,70.53
80.8,69.6
83.25,65.73
82.34,29.23
84.46,76.32
85.21,56.23
85.51,73.2
77.28,75.44
84.49,71.35
79.93,74.25
86.92,69.05
90.51,62.98
73.91,73.43
88.36,62.38
95.66,-55.09
85.32,68.43
85.11,82.11
76.7,62.24
87.93,69.6
95.24,85.83
85.09,63.82
88.92,31.17
90.81,67.02
91.57,34.89
81.0,75.14
82.04,62.88
89.71,92.45
79.83,59.95
87.07,47.2
81.64,37.27
78.66,57.82
90.96,53.93
90.71,-358.58
