Train,Test
93.46,85.95
93.09,90.85
92.94,86.46
92.36,92.68
92.32,65.11
94.44,81.11
88.66,73.32
97.21,87.59
94.85,68.71
94.18,80.56
93.6,88.95
94.44,91.69
92.68,91.06
95.65,87.79
96.18,87.07
93.21,93.91
97.62,88.56
94.38,78.4
95.5,88.58
90.93,92.59
91.64,65.32
94.36,88.49
94.83,86.24
94.18,91.61
94.7,92.79
94.83,93.57
96.42,72.26
90.56,94.34
97.0,93.91
95.18,91.41
93.39,86.18
95.9,65.38
94.05,86.28
94.3,98.37
94.41,89.54
90.31,89.95
92.23,90.06
94.51,82.54
94.81,79.94
90.69,84.87
91.82,93.3
95.98,89.01
93.0,89.64
89.2,93.23
93.44,88.52
96.17,90.65
92.28,82.65
93.47,81.78
93.56,89.4
95.12,95.35
88.47,88.36
92.68,85.39
90.21,83.85
94.56,79.42
96.04,78.16
97.33,89.74
96.25,77.86
94.95,95.4
96.97,84.56
94.81,91.31
92.98,91.45
90.77,89.61
97.14,89.74
93.52,83.52
92.18,82.6
87.16,84.23
94.33,95.08
95.6,87.77
93.56,96.28
95.17,81.5
96.12,90.9
93.95,88.34
96.31,80.26
94.93,85.86
93.03,87.76
95.75,93.63
92.39,83.17
92.63,88.01
95.31,95.2
94.14,90.67
95.72,92.98
94.2,85.13
92.5,85.41
96.07,88.98
90.27,86.45
88.81,91.67
93.58,85.35
95.51,92.94
90.78,85.15
94.14,90.93
91.08,93.21
93.03,81.69
88.07,85.39
91.46,95.86
92.18,77.28
95.49,71.73
91.76,78.66
97.26,86.18
92.47,90.67
93.24,89.76
