Train,Test
84.14,-4.39
87.97,50.35
71.91,90.68
78.35,55.85
84.58,37.23
69.69,62.95
85.1,10.44
83.84,63.47
67.04,-50.22
79.84,-782.44
75.03,74.01
88.23,-85.21
64.52,-81.15
75.57,30.11
70.63,83.41
83.94,83.27
89.25,2.68
73.22,82.94
80.0,80.05
81.05,49.98
74.51,69.04
81.1,16.48
71.1,37.03
76.8,53.41
84.82,55.84
58.07,68.69
76.56,76.76
81.53,-66.64
80.71,59.84
85.08,-22.97
87.03,33.49
80.65,82.65
74.81,60.07
78.78,56.02
84.39,67.63
80.65,64.12
81.27,47.13
60.32,51.24
80.61,63.45
74.25,66.9
91.41,83.6
83.55,82.43
78.13,53.73
80.68,90.03
84.86,34.84
85.02,78.61
78.84,61.69
67.3,88.25
75.1,36.15
84.45,28.5
82.13,73.53
94.16,79.26
80.05,68.47
84.91,36.76
67.32,57.48
81.53,83.49
76.48,69.45
88.24,11.32
79.8,60.88
79.11,68.89
68.35,73.55
88.44,59.31
81.36,78.48
74.65,81.53
78.08,55.53
70.5,81.4
84.47,72.81
72.69,50.09
69.0,45.76
67.55,-10.79
84.08,56.38
81.48,57.14
86.54,-52.35
78.15,-40.94
80.2,-13.49
87.13,15.2
79.31,70.7
64.19,68.06
72.24,14.66
86.88,49.32
69.9,50.7
77.18,29.14
79.33,67.27
83.08,87.65
80.46,61.8
78.34,81.79
72.12,32.54
76.72,48.94
86.85,85.03
89.49,19.91
84.75,40.9
72.38,33.94
75.04,64.64
86.07,73.26
78.34,53.65
80.58,88.15
71.59,69.58
81.35,59.06
80.89,58.29
77.13,55.29
