Train,Test
89.7,72.91
80.67,78.33
86.79,60.5
84.85,74.91
79.01,73.72
92.84,86.71
78.56,77.97
82.4,73.39
84.7,70.94
86.09,74.2
91.41,66.51
91.04,72.76
88.51,51.06
82.22,78.79
90.18,83.59
93.21,23.62
85.07,63.17
90.0,56.13
81.58,70.44
87.31,49.84
79.9,71.91
83.36,60.22
82.03,79.8
78.69,74.7
80.83,69.25
89.62,80.24
83.66,81.65
79.45,70.92
84.96,95.43
80.52,85.51
90.73,30.27
88.91,68.31
82.58,65.11
85.16,84.05
83.64,27.29
79.55,45.98
93.82,81.3
83.18,74.41
67.86,69.96
83.39,64.0
92.33,77.98
85.49,60.78
90.59,70.34
89.28,57.15
83.29,63.45
88.64,76.91
80.23,66.8
83.74,72.36
84.98,60.09
73.09,61.11
86.29,79.93
86.61,86.88
83.4,37.31
94.64,85.51
79.53,77.01
85.62,90.21
84.47,79.28
94.5,80.58
89.45,63.6
92.81,68.38
83.82,76.47
87.2,84.34
78.83,63.42
82.98,79.78
83.11,76.18
85.4,82.81
87.99,68.51
77.22,69.21
85.72,69.76
90.86,46.86
79.09,47.84
83.11,61.19
87.11,87.7
79.75,69.9
87.46,80.21
87.77,78.48
77.37,93.96
89.89,71.7
78.94,65.77
85.75,72.75
91.7,67.6
84.64,73.95
90.73,85.72
79.63,53.13
84.39,69.78
81.08,67.56
81.96,50.48
75.42,53.7
85.82,69.89
88.58,56.46
87.72,73.82
84.36,34.71
77.34,86.97
90.07,85.19
90.88,68.55
85.65,51.15
91.72,69.57
87.3,72.09
90.77,76.63
82.47,56.14
79.61,81.1
86.15,84.42
83.01,80.87
87.62,66.8
80.26,69.55
86.99,77.1
90.96,64.92
81.09,76.62
74.82,53.75
94.34,88.13
79.41,63.17
78.23,77.34
83.44,77.88
79.23,70.95
87.77,62.01
83.75,69.98
82.29,78.06
86.81,56.35
70.39,68.19
86.03,70.29
84.65,49.25
77.77,69.41
89.35,86.66
92.43,65.12
89.19,71.46
81.52,67.39
81.94,74.77
82.26,74.42
72.9,75.37
72.37,91.52
92.44,21.77
84.63,85.75
83.83,68.44
74.3,39.7
94.53,37.43
91.47,60.7
84.33,93.88
83.37,74.71
79.6,84.68
83.91,64.69
85.86,71.84
79.95,68.19
84.61,61.81
88.61,91.31
88.34,79.62
87.12,82.34
81.05,87.05
89.47,62.54
79.83,71.17
84.17,81.7
87.33,66.18
93.54,53.86
85.64,23.64
86.28,79.02
83.71,79.61
79.36,71.76
91.54,62.81
82.28,71.08
89.02,12.09
87.58,39.29
92.17,69.96
85.81,82.56
88.72,70.49
86.48,76.1
91.79,88.72
89.42,66.6
77.21,84.75
84.54,59.4
91.53,75.65
89.1,65.65
85.61,78.83
86.85,45.9
88.5,74.0
82.18,68.34
82.23,58.61
87.77,71.22
84.02,86.57
89.3,58.58
81.56,36.1
90.76,48.78
75.92,79.03
83.18,80.11
88.49,64.47
87.71,82.28
85.94,82.11
91.84,86.21
88.38,50.75
82.35,68.64
93.65,57.13
87.64,50.08
88.77,84.61
87.92,68.72
82.81,83.92
87.99,82.84
77.29,67.04
90.0,61.43
81.1,74.66
82.58,74.23
91.78,62.5
75.84,76.53
81.68,53.61
74.81,40.95
79.14,87.2
86.4,66.08
88.63,68.02
81.81,78.18
88.99,50.35
79.27,69.57
81.32,71.51
78.83,84.53
90.43,58.96
89.86,-63.25
87.0,57.52
85.45,82.0
84.55,48.97
82.2,55.63
82.04,14.42
81.35,68.82
78.27,76.76
84.33,58.88
67.19,68.1
71.0,69.3
85.45,76.91
83.01,62.42
81.95,76.61
86.4,-11.46
82.94,64.64
75.66,68.91
79.62,89.57
76.31,84.15
90.14,57.93
86.74,84.06
88.35,78.16
80.93,55.92
87.53,85.84
77.42,85.95
84.71,86.39
84.84,74.59
80.35,74.06
88.31,55.07
81.86,78.43
87.1,44.93
84.93,79.11
89.95,82.31
76.21,86.65
86.09,74.47
86.13,38.94
87.98,55.86
94.32,62.8
81.26,79.93
88.27,82.43
89.84,8.26
83.22,79.6
86.07,60.03
82.3,75.8
84.86,78.15
83.57,83.97
83.97,72.86
91.05,40.75
84.27,53.86
88.3,67.47
82.63,53.63
91.59,49.34
76.24,92.29
74.28,80.82
84.11,77.87
77.95,31.58
92.36,79.97
81.57,52.1
77.2,64.37
86.83,-139.09
78.8,58.93
88.9,75.36
94.75,23.37
87.19,76.51
95.17,50.26
80.64,34.47
82.54,49.09
82.85,44.66
85.74,81.24
77.2,69.18
83.69,85.63
84.45,68.68
83.09,78.37
83.75,72.87
81.65,77.95
80.74,75.57
81.35,76.62
90.04,80.52
84.23,80.92
81.01,71.24
84.53,55.04
81.59,68.03
78.55,78.36
90.85,47.17
77.05,83.31
78.85,70.8
80.59,58.74
86.89,72.48
87.33,51.72
81.31,84.67
78.79,49.42
80.49,7.68
83.77,57.48
84.05,71.46
87.49,87.59
78.65,71.92
90.0,82.19
88.73,72.77
90.17,83.18
84.03,79.73
85.98,76.3
83.81,75.55
78.71,79.17
86.27,77.29
83.22,75.52
87.63,-67.8
83.7,89.31
84.79,67.78
86.98,51.11
81.92,85.18
85.26,79.68
81.65,75.72
85.16,47.22
86.29,77.09
87.88,52.48
91.27,76.16
80.45,52.29
78.85,3.26
88.98,91.09
95.15,-13.54
70.75,77.12
81.62,80.4
83.72,71.31
79.9,76.59
88.33,78.94
90.21,53.06
89.25,75.21
80.87,81.22
84.6,64.08
92.45,73.64
82.69,52.41
93.47,4.56
83.73,-8.09
91.2,71.77
85.0,57.93
88.03,74.55
82.24,73.98
89.02,73.94
80.66,76.14
81.88,66.0
80.28,94.26
86.47,59.15
77.52,83.97
81.35,74.4
84.6,68.79
87.47,76.14
81.17,86.82
82.52,85.71
94.8,36.76
83.18,72.29
83.46,74.74
87.62,90.0
82.7,53.47
82.93,85.34
81.71,64.96
80.82,57.35
80.51,55.73
75.8,67.81
85.72,67.43
81.53,69.02
83.7,77.58
82.56,63.18
92.39,86.01
86.06,35.29
89.66,85.34
91.14,-17.78
89.58,87.09
79.98,55.27
79.85,88.31
75.56,82.97
85.93,73.48
78.15,52.08
84.16,81.77
86.32,69.05
86.18,86.21
82.89,89.52
85.61,31.1
82.47,82.43
83.26,77.62
84.43,80.6
88.07,62.59
86.38,67.21
86.09,65.66
83.88,70.39
89.63,-80.95
81.33,53.68
83.82,69.2
85.15,46.1
91.06,41.07
89.83,57.73
89.13,82.32
89.02,64.1
85.01,81.31
88.11,63.39
88.94,62.25
75.66,78.89
83.59,69.54
87.74,73.26
75.21,82.61
78.44,62.22
85.18,72.33
79.22,88.45
79.44,74.88
85.98,80.73
86.26,65.55
84.58,78.16
84.34,82.59
83.53,64.83
93.77,27.16
81.06,75.55
79.51,79.92
79.84,68.26
82.86,79.68
84.07,70.96
87.46,62.07
76.68,62.88
89.06,74.35
82.77,67.27
78.18,74.79
80.46,85.19
79.17,12.1
89.31,49.3
77.35,70.15
91.66,76.28
89.91,70.16
93.59,28.99
92.25,-7.76
89.82,49.61
77.2,83.05
87.68,39.04
77.38,85.15
89.65,47.75
79.19,60.83
80.58,34.61
78.99,56.17
89.65,64.08
84.31,59.01
85.2,83.47
88.19,-0.0
82.16,85.05
84.08,81.59
79.42,74.4
87.71,83.0
88.94,60.6
87.66,65.68
85.92,68.15
81.28,46.43
82.45,87.49
87.99,57.43
83.49,73.13
83.6,76.89
84.33,79.9
81.4,84.67
83.21,50.88
84.89,72.53
86.51,79.51
91.43,69.34
86.83,91.71
79.72,80.42
83.36,38.66
79.62,72.95
79.79,64.38
85.75,5.49
87.73,81.52
84.82,80.46
78.79,62.78
89.38,59.76
79.86,77.85
90.52,69.76
93.28,83.86
89.93,79.07
88.2,5.63
81.63,79.49
79.67,81.68
87.21,82.81
81.78,63.08
84.34,82.32
90.72,83.9
81.1,53.66
84.45,70.88
84.26,76.91
82.3,55.03
86.52,80.08
90.18,91.53
84.84,81.12
89.26,67.74
77.97,80.12
70.68,84.03
91.88,54.45
76.66,80.92
93.7,57.21
88.26,58.75
86.12,78.39
92.54,44.59
89.25,86.75
90.22,89.26
81.71,64.53
85.85,72.46
80.0,75.23
90.98,37.8
89.64,80.2
82.73,81.87
82.64,87.4
87.99,57.51
93.69,91.12
79.45,65.57
83.35,87.87
94.53,86.92
83.73,51.33
87.63,53.28
92.3,73.43
82.81,61.79
73.58,85.18
79.58,78.17
87.35,58.85
87.8,67.55
92.16,65.04
89.97,91.16
86.19,68.85
91.69,78.96
71.07,45.35
78.2,71.29
79.35,70.66
83.17,55.03
84.82,24.64
84.13,79.93
83.37,73.43
80.08,69.81
79.36,53.58
87.58,85.55
83.13,73.81
88.2,67.78
86.91,60.47
79.24,37.41
69.92,29.33
94.34,67.19
79.27,70.02
82.04,76.45
92.14,39.96
85.69,53.71
84.11,75.23
83.72,64.36
83.44,84.02
88.72,84.27
82.04,43.27
88.64,87.1
82.02,33.0
78.27,79.59
83.03,78.39
89.56,-32.52
84.93,77.13
96.16,55.9
84.68,81.64
84.51,66.71
77.56,76.41
89.93,78.57
89.25,16.01
81.87,55.66
85.69,44.6
88.66,68.87
88.81,73.3
75.32,82.55
86.51,64.23
93.91,64.28
90.2,76.58
92.95,47.4
78.84,75.34
77.39,73.39
86.62,75.94
79.35,66.3
88.06,68.17
76.8,64.59
83.42,66.19
79.57,77.16
84.69,77.63
87.36,76.47
87.57,58.98
80.78,81.83
82.1,67.77
88.18,71.95
81.0,56.81
88.34,42.61
87.9,83.72
89.4,51.87
89.05,72.44
85.38,57.86
91.37,75.16
86.03,73.47
71.92,80.81
89.25,70.28
87.16,84.83
84.33,72.6
69.96,64.42
82.59,71.66
88.16,60.87
78.27,86.59
77.33,67.92
81.4,77.85
86.26,51.59
91.04,78.2
79.77,67.09
85.45,76.38
85.55,83.85
83.88,85.47
82.77,60.14
79.54,94.05
74.68,54.61
85.34,74.71
88.35,83.54
91.69,67.58
78.92,78.59
82.51,47.07
84.69,82.3
84.56,64.19
89.69,87.7
91.53,37.77
79.22,50.56
84.06,72.33
84.79,58.74
82.62,48.93
78.75,43.62
78.27,55.33
80.3,63.52
87.46,80.08
77.21,78.0
77.1,90.89
85.3,66.78
88.9,56.15
83.01,65.49
89.49,83.15
82.67,65.95
84.99,53.96
77.86,66.39
80.52,61.07
84.83,73.33
79.04,63.65
81.03,58.82
87.11,71.87
88.56,33.42
84.2,64.92
89.15,86.41
79.1,90.78
78.83,73.76
78.9,58.65
79.43,35.3
82.78,62.71
85.47,24.23
76.62,77.29
84.98,80.96
83.12,70.54
88.16,55.93
86.9,75.26
82.95,72.13
89.65,79.17
88.82,83.07
78.75,35.15
88.17,75.73
88.85,6.45
90.05,31.0
91.67,53.74
86.33,69.39
75.19,65.15
84.43,66.23
71.61,69.59
72.83,72.16
79.98,49.8
81.5,69.78
88.38,-57.2
82.47,64.69
94.28,84.54
79.6,25.95
80.23,51.82
91.07,66.49
86.91,51.39
86.59,79.64
83.53,29.54
86.96,66.35
83.71,89.74
90.21,44.55
91.92,70.76
82.28,75.44
91.96,-180.91
78.47,79.74
73.39,51.94
93.79,75.6
83.03,53.51
86.68,82.63
89.02,78.85
92.52,43.53
88.98,40.84
91.42,81.83
83.27,41.05
92.45,59.27
80.0,61.06
81.45,65.57
91.85,75.45
83.63,75.66
81.25,75.09
82.28,45.02
84.69,55.69
89.37,39.07
83.76,64.02
83.13,60.0
91.82,73.09
82.39,77.91
80.72,80.73
85.19,84.13
78.05,70.65
82.39,59.49
82.04,70.26
88.13,43.08
90.99,88.54
82.71,87.61
87.35,57.1
87.63,45.92
88.2,83.58
74.24,82.08
89.62,68.45
90.48,57.01
94.05,56.36
80.26,68.54
85.79,51.9
86.67,75.79
80.8,95.74
87.1,85.98
85.65,75.67
85.52,78.3
80.96,88.57
84.73,83.01
77.82,76.15
94.03,54.24
83.42,60.13
81.54,81.46
87.7,72.75
86.46,81.56
89.13,73.25
79.19,51.85
82.89,70.33
95.71,12.48
81.39,74.78
79.1,72.29
89.15,89.06
83.91,68.55
81.72,77.61
84.21,51.89
83.02,73.82
93.46,90.28
85.14,92.41
83.28,72.31
78.73,74.66
80.62,83.72
85.63,70.43
80.25,80.7
84.26,70.32
88.18,68.69
85.86,77.11
83.27,76.98
84.68,80.32
86.92,64.08
86.04,60.71
77.04,84.93
83.9,62.33
83.71,13.46
88.58,84.02
92.51,58.36
84.17,82.95
84.65,80.27
81.36,77.16
86.83,39.71
90.64,57.1
89.63,64.11
81.87,58.63
85.76,47.65
80.08,77.25
86.79,71.6
90.39,69.19
87.51,38.19
84.5,56.27
80.56,63.29
78.36,69.52
85.08,45.24
89.99,83.51
88.84,53.39
76.88,83.22
87.58,-0.4
84.8,88.45
86.21,81.35
88.25,86.28
88.54,51.67
80.16,76.9
90.24,59.39
90.21,57.46
82.12,82.14
89.84,67.64
84.61,85.15
76.83,78.37
83.42,51.71
84.75,53.35
85.61,57.76
86.69,83.21
81.62,58.87
83.89,96.89
84.36,86.47
88.62,84.48
90.17,79.84
90.4,68.83
89.07,78.92
89.44,62.46
81.95,81.72
79.92,88.48
86.13,77.4
80.09,80.05
87.4,86.59
83.59,85.64
96.44,86.91
80.96,89.19
81.01,86.81
80.3,69.26
79.25,58.57
75.99,60.69
86.57,72.23
90.34,74.1
82.39,68.75
86.4,86.56
80.53,28.28
82.03,35.22
86.85,79.03
82.99,53.35
75.54,87.78
83.83,73.72
87.44,64.1
77.23,62.25
85.13,63.49
93.37,28.31
79.71,73.27
86.71,89.51
83.04,51.48
85.09,63.03
78.44,79.28
81.23,65.83
86.11,84.13
85.08,81.12
93.93,53.81
91.33,32.63
78.97,71.69
83.84,63.42
91.26,59.66
73.71,63.84
84.6,56.55
85.58,8.48
84.79,40.84
84.21,64.25
80.63,76.89
81.64,75.75
93.03,71.73
83.94,57.84
78.89,50.07
79.31,84.8
92.99,4.71
87.81,83.3
76.74,43.58
86.92,79.28
82.67,56.95
81.3,56.8
87.94,74.45
89.23,37.58
93.15,36.84
75.39,80.72
92.96,66.58
88.04,38.46
88.33,88.72
88.99,44.74
86.19,60.18
88.13,71.16
65.4,63.58
91.74,77.33
84.2,69.72
84.76,74.33
87.54,44.58
85.77,83.98
81.48,75.68
89.07,90.48
87.63,55.72
85.27,39.57
85.54,65.66
93.72,68.27
80.02,68.31
83.75,66.62
85.62,77.7
82.43,75.37
84.56,46.76
90.19,72.88
74.29,59.89
81.41,73.11
77.56,79.81
86.51,79.57
79.12,29.41
90.09,30.59
78.91,69.23
93.86,49.44
89.02,53.03
69.29,73.64
83.9,81.8
83.19,69.03
90.0,42.96
86.77,41.04
80.47,82.12
85.48,60.28
86.86,63.98
89.47,74.92
74.86,86.19
80.69,54.35
87.23,74.64
90.82,-79.99
89.56,55.31
81.13,74.55
89.88,79.98
89.88,87.52
94.32,60.14
85.34,84.77
94.86,92.85
80.69,77.26
82.0,72.61
83.06,62.16
72.01,75.0
86.08,51.41
81.52,79.29
90.58,83.19
82.4,78.06
82.98,66.42
82.35,68.48
90.64,83.83
89.04,63.81
82.44,65.07
90.83,91.1
91.53,40.69
77.8,70.31
75.36,72.4
84.31,66.63
79.89,89.7
91.4,-117.77
85.18,37.82
90.44,83.89
84.0,70.74
84.48,81.46
88.99,77.73
82.95,88.12
82.71,81.48
78.16,85.48
77.82,71.21
84.14,76.83
77.4,74.78
83.11,52.76
89.65,79.4
87.02,82.05
93.08,44.17
89.44,78.33
94.36,39.01
85.64,83.75
85.77,74.8
82.92,65.08
82.35,75.49
89.59,3.24
81.72,81.42
79.99,85.28
88.0,76.79
85.95,70.29
86.71,82.88
88.93,75.02
85.72,75.92
86.75,63.24
82.9,75.7
84.8,80.08
86.91,64.44
82.82,67.38
89.9,67.25
75.65,73.72
86.12,84.03
88.0,65.85
78.34,78.54
86.95,71.43
83.63,72.48
78.41,73.61
89.66,64.61
77.37,70.19
80.22,68.89
89.6,35.36
86.87,75.92
85.3,63.12
