Train,Test
93.47,79.41
93.8,86.97
95.59,87.91
90.56,93.49
93.9,94.6
93.25,88.79
94.19,88.96
96.76,80.2
93.5,90.66
93.1,93.91
93.93,91.8
88.37,85.37
92.61,80.9
93.98,90.01
94.09,78.52
96.21,92.86
93.51,78.55
89.83,90.91
96.4,69.52
95.29,74.99
96.54,87.63
95.4,90.96
94.55,89.62
95.5,84.71
94.21,92.51
96.25,89.99
96.89,90.69
93.96,88.75
93.48,94.52
95.45,80.45
91.82,89.86
96.91,62.12
94.41,96.43
92.65,94.65
93.28,93.65
92.37,95.26
90.64,84.09
92.88,46.56
92.07,83.0
96.22,88.2
92.8,88.87
92.96,64.28
92.16,85.9
96.32,82.06
91.74,85.8
93.32,93.14
97.84,90.24
93.03,82.24
96.03,60.87
95.72,80.86
94.54,79.09
92.36,92.68
95.56,96.59
88.18,94.09
94.44,88.63
92.22,90.94
95.76,94.24
89.97,86.5
93.24,91.62
94.29,96.43
90.56,96.88
94.68,84.94
91.33,81.97
90.62,87.79
86.39,88.83
92.41,89.62
91.35,89.63
95.21,96.27
89.21,90.03
96.8,91.22
94.57,87.55
89.31,94.1
95.06,91.38
92.66,79.33
94.01,90.36
91.64,85.98
93.33,86.46
90.75,92.22
93.31,94.79
89.17,84.53
92.18,94.83
93.04,95.52
90.98,83.73
93.78,94.13
94.44,95.3
95.41,93.75
88.36,87.22
94.94,82.32
96.84,95.4
91.76,91.3
95.46,75.86
95.71,91.05
92.94,92.12
94.97,94.4
95.7,85.7
88.88,84.82
94.97,93.54
92.14,91.14
89.08,88.12
94.74,79.86
95.2,87.24
92.02,91.63
92.23,93.46
89.89,82.91
92.66,86.71
97.31,94.56
91.34,93.07
95.09,93.67
95.1,72.75
94.7,84.49
90.48,59.11
94.47,81.11
93.7,91.35
94.24,82.62
97.2,86.08
95.53,66.87
94.7,93.59
95.6,72.78
92.01,94.97
94.16,85.72
94.59,73.09
96.07,81.59
91.81,90.41
91.71,79.06
93.66,91.28
94.62,90.87
96.71,61.88
96.27,89.99
90.09,92.89
96.34,82.05
92.91,82.77
93.83,93.56
92.46,59.48
95.85,92.18
93.89,95.19
96.87,90.38
96.34,88.75
94.81,77.06
94.74,91.44
88.0,89.94
93.42,92.1
91.86,90.76
91.83,89.01
92.34,94.33
95.2,94.42
91.71,96.15
92.94,70.39
94.84,86.33
94.72,88.09
93.92,92.41
90.18,72.85
91.43,77.62
97.55,85.54
90.66,91.69
95.82,86.7
92.82,89.12
91.77,94.35
93.9,86.04
96.53,88.96
85.72,84.29
96.16,92.72
98.34,81.09
91.38,97.91
93.81,92.72
96.1,90.38
94.0,90.56
92.35,92.14
94.56,95.08
94.3,72.16
94.93,86.93
94.98,83.97
93.2,91.88
88.77,93.21
94.74,87.15
94.78,80.88
92.51,75.35
92.22,81.36
95.16,92.23
90.74,91.67
