Train,Test
85.05,71.75
88.58,74.05
83.23,92.94
93.98,79.59
90.82,87.84
86.67,89.16
84.73,78.31
91.77,68.29
80.25,80.26
92.64,57.8
91.84,68.64
91.71,77.22
84.15,68.08
83.68,4.1
86.02,73.08
92.04,61.71
91.3,79.64
77.53,80.49
86.99,81.55
79.1,85.66
87.84,97.15
97.28,88.54
84.35,76.42
94.62,70.39
86.19,52.79
86.28,57.13
91.15,62.47
94.51,88.55
87.2,79.88
91.57,73.64
87.68,53.0
89.53,61.3
88.9,38.39
94.91,92.01
79.73,68.85
92.23,87.74
85.56,53.75
91.85,78.69
85.19,65.43
90.08,-7.36
86.26,79.06
86.53,69.89
87.95,89.97
79.65,75.23
80.89,87.47
90.88,52.58
91.31,65.89
85.81,64.93
88.55,80.1
86.46,71.37
89.24,78.13
91.94,68.71
88.83,65.9
91.35,76.29
87.73,93.54
95.67,46.15
88.71,74.24
90.1,53.51
76.27,66.08
86.58,94.14
80.72,75.4
88.74,73.58
91.97,76.06
89.95,75.42
94.0,72.93
87.3,73.01
80.71,74.85
85.06,81.61
80.78,74.69
76.16,72.51
82.15,83.43
90.52,75.45
88.73,69.61
74.18,70.19
92.29,76.97
79.75,74.41
83.54,72.93
91.17,61.94
95.29,83.05
89.79,77.44
85.13,84.41
81.36,74.64
92.31,77.76
90.4,80.31
91.07,79.22
90.14,79.86
89.67,67.14
92.34,33.87
86.67,72.38
93.02,92.57
83.21,84.8
90.13,54.82
89.01,79.12
85.96,82.28
78.02,77.66
88.65,80.5
84.87,80.78
90.05,83.02
88.07,59.33
87.45,87.94
