Train,Test
76.24,62.43
90.26,87.94
84.98,33.1
75.18,57.43
78.46,76.23
80.21,64.79
86.42,41.58
76.5,76.61
79.07,-6.26
82.58,33.48
74.53,72.98
75.16,-22.55
85.25,50.12
86.37,85.19
85.17,77.39
83.0,50.68
82.68,38.33
91.3,41.24
83.45,71.43
89.16,49.5
74.93,65.61
79.16,83.51
95.14,50.61
80.07,44.38
85.44,44.92
77.4,71.28
87.43,76.4
84.72,76.91
77.88,72.48
80.17,87.8
74.45,15.96
84.35,2.06
86.44,60.75
75.77,68.14
83.99,78.29
85.06,34.62
92.04,60.44
86.05,40.45
70.47,76.64
80.45,67.67
77.86,58.74
82.12,80.11
84.46,67.35
76.77,31.6
82.35,81.87
80.77,47.12
84.84,59.42
90.5,52.39
91.44,55.05
89.92,46.7
87.07,41.11
76.34,41.31
90.88,75.75
82.3,62.16
85.22,78.62
89.63,77.01
80.38,68.08
83.7,34.62
79.98,81.51
88.72,-38.08
85.13,79.01
79.68,61.81
83.44,59.53
83.42,59.08
77.36,79.83
78.78,71.12
72.46,52.58
75.98,74.03
75.72,53.03
77.13,73.79
86.53,61.98
83.39,50.42
80.09,2.14
86.62,51.51
84.77,80.61
77.86,59.3
75.51,56.34
82.88,59.69
84.8,55.42
90.29,79.97
84.03,19.2
85.39,59.87
83.89,64.7
82.79,27.74
78.68,44.88
87.19,75.66
95.34,-554.04
79.54,66.44
75.51,68.89
81.34,61.58
88.57,-13.87
80.51,65.73
83.28,73.02
83.93,49.31
84.31,60.76
76.45,51.44
85.83,87.59
73.99,75.89
80.94,71.51
79.34,37.02
