Train,Test
90.89,86.3
90.61,70.59
81.79,84.87
86.27,73.05
91.26,76.15
91.08,80.45
82.67,91.48
81.14,75.76
88.98,88.75
81.45,67.43
78.65,73.74
79.93,53.16
84.19,92.39
92.59,70.79
84.14,77.74
89.88,53.77
91.38,71.57
89.57,47.62
83.28,75.42
93.93,74.29
86.3,78.66
76.68,81.98
86.77,81.72
84.26,63.32
93.74,65.63
87.52,82.65
80.9,76.01
82.69,67.06
94.52,58.99
89.12,87.22
96.99,73.12
86.51,52.49
92.15,85.2
85.41,77.18
90.04,70.12
90.79,43.57
97.8,61.67
87.09,73.03
80.06,85.76
89.42,67.34
89.43,88.98
83.31,66.25
78.04,83.08
88.83,49.57
83.2,82.49
85.63,83.92
90.8,76.29
84.3,81.81
90.18,83.24
93.77,36.36
90.51,91.15
95.85,74.08
92.23,81.07
83.21,37.68
83.59,80.53
90.77,75.53
83.63,68.06
81.2,77.8
91.28,92.87
90.15,59.6
80.86,54.78
84.1,92.73
94.52,77.64
89.46,88.3
87.02,82.05
80.78,82.61
92.88,94.16
94.1,49.6
81.71,67.03
84.69,87.16
92.59,90.58
78.02,81.25
77.27,70.13
95.39,84.29
85.68,76.24
93.88,50.13
87.94,85.97
89.12,92.16
82.82,76.73
90.01,90.47
92.21,72.42
90.86,87.08
90.91,64.91
89.41,82.61
91.06,52.25
87.41,68.71
86.21,87.13
89.42,82.91
74.27,87.57
83.26,74.38
84.77,87.4
95.21,85.66
92.05,82.68
88.7,89.1
86.78,74.15
82.89,74.59
88.6,76.02
81.76,92.41
88.47,83.0
93.31,85.65
88.87,90.64
88.27,79.58
91.83,79.67
87.08,75.79
92.72,77.17
85.02,85.86
74.99,81.53
79.69,83.05
80.78,78.55
91.82,61.28
85.46,78.74
87.92,81.55
81.5,43.55
94.29,87.66
76.19,75.68
87.07,67.57
89.88,89.9
89.0,70.28
85.07,95.13
93.06,80.08
83.38,59.0
90.45,80.33
75.97,78.0
85.78,70.7
86.94,83.53
77.64,76.22
83.89,84.21
90.24,80.74
88.01,85.55
86.44,79.87
90.2,67.19
89.14,88.52
76.83,77.25
88.56,85.81
89.03,82.22
91.93,85.48
94.95,75.1
91.86,72.86
92.04,35.17
86.28,61.47
87.73,59.87
87.95,74.02
85.44,31.85
84.63,83.5
81.67,88.61
96.49,58.61
92.06,72.36
86.42,83.16
92.28,78.78
84.58,93.54
89.62,60.63
77.53,87.85
80.22,61.98
87.6,89.27
85.37,70.4
83.53,54.33
93.67,87.78
78.71,86.97
87.79,89.17
93.54,74.62
87.62,49.86
88.44,67.64
84.43,86.31
86.62,79.27
93.13,82.44
80.04,54.89
85.05,87.34
93.71,87.16
90.73,75.28
83.69,77.1
89.95,63.45
89.02,79.39
95.69,79.89
90.24,71.72
90.98,73.62
88.39,81.58
84.24,43.31
78.76,89.94
88.66,63.66
91.44,91.03
87.97,71.82
83.0,88.72
78.07,83.31
76.24,64.85
81.44,72.98
82.91,57.8
93.84,56.96
92.49,84.4
89.0,69.61
88.62,70.56
86.82,48.63
92.57,65.23
97.17,79.78
84.74,0.24
87.35,81.31
78.23,83.07
72.16,64.89
90.15,84.39
85.3,77.88
81.85,74.26
87.7,57.19
73.25,32.12
88.58,46.36
88.99,73.21
84.21,73.69
91.98,86.56
88.4,66.75
94.65,65.53
94.07,69.22
85.96,80.56
86.6,83.08
90.34,91.87
82.12,71.74
90.83,82.61
91.49,82.47
94.45,71.87
91.74,14.32
89.31,40.16
88.96,41.23
88.02,71.72
81.93,69.12
93.07,77.01
90.65,91.72
87.97,76.99
84.45,22.69
90.37,84.94
91.21,81.51
86.02,67.35
95.3,76.65
84.3,69.55
85.36,-66.36
88.43,66.34
94.83,65.14
92.38,86.87
93.57,76.81
81.83,71.77
85.13,80.62
90.81,59.74
91.42,88.44
89.12,53.7
88.12,83.33
92.69,80.64
80.86,63.92
89.37,86.27
80.12,73.68
95.18,83.22
81.36,79.08
86.52,79.9
93.84,73.82
85.68,71.76
88.57,80.6
90.41,69.31
83.1,77.3
78.2,82.79
92.98,79.79
89.11,72.08
89.71,83.49
85.96,88.41
92.45,90.95
86.89,80.22
92.55,44.16
90.93,87.9
93.15,75.12
90.27,78.34
82.16,90.41
91.47,64.36
92.2,87.15
95.4,51.7
96.25,81.58
92.0,71.41
82.17,65.41
92.66,57.6
88.85,75.22
81.71,62.88
84.8,69.72
93.51,65.56
91.76,79.79
97.35,94.49
79.28,71.92
80.91,82.84
92.95,77.69
80.11,71.4
92.1,59.79
86.6,73.02
86.96,87.58
88.32,61.25
84.65,85.54
82.04,75.04
86.22,78.24
88.61,67.15
92.32,66.9
88.79,83.75
92.94,76.02
88.46,86.48
93.81,80.03
89.37,43.31
90.13,90.99
83.48,84.79
95.37,91.22
80.28,67.35
76.0,79.19
82.9,69.3
89.72,-4.98
89.26,80.59
93.09,72.25
94.27,57.83
84.37,80.84
79.38,77.47
91.92,50.7
88.61,91.03
87.96,70.17
88.59,86.1
85.58,83.67
87.06,79.5
87.15,55.42
93.7,83.35
81.35,83.98
81.68,88.34
68.62,29.0
83.5,65.64
92.12,86.93
94.18,-22.95
83.2,77.28
86.64,84.55
86.66,58.58
92.18,-40.44
84.73,74.69
77.57,68.57
83.61,61.6
85.82,83.59
74.26,71.46
93.35,72.41
89.56,59.63
93.0,56.43
83.27,89.84
85.04,41.95
91.95,43.62
91.42,71.51
82.58,86.5
97.83,66.35
79.16,88.92
81.16,53.44
87.17,82.19
87.08,78.23
77.12,71.91
80.93,72.17
92.41,88.38
87.52,77.16
90.98,93.43
96.34,81.75
80.94,82.18
80.56,75.78
86.45,77.84
80.85,87.63
85.59,56.92
86.26,79.19
88.23,81.8
87.51,83.24
92.17,77.43
91.05,85.44
86.98,71.42
75.81,69.33
86.86,48.24
87.01,69.72
92.18,88.54
83.23,85.25
93.01,89.28
87.44,79.36
88.11,56.67
86.59,88.27
89.45,77.49
74.65,65.22
93.67,78.14
89.42,19.87
91.04,42.05
96.31,24.65
82.9,87.63
89.49,90.09
92.83,35.9
91.86,71.44
88.13,75.98
93.28,59.06
84.03,88.83
90.52,90.06
81.44,86.35
88.44,72.12
89.25,75.26
78.73,80.35
76.95,70.49
94.28,69.43
89.85,82.66
80.9,72.16
75.54,75.88
89.8,90.47
81.02,89.02
94.95,88.82
72.65,67.44
84.41,80.6
90.58,74.54
89.71,87.54
84.91,86.9
88.68,90.37
85.19,66.18
91.73,72.21
90.66,87.27
86.4,57.64
86.8,69.89
95.65,73.2
92.67,81.7
94.22,73.59
89.61,65.97
89.83,25.38
83.12,65.68
91.83,42.48
89.69,62.82
89.22,75.52
89.52,67.42
80.5,78.72
83.02,84.1
85.03,79.02
90.58,93.84
78.68,63.7
86.85,77.53
93.99,66.51
86.49,75.39
88.23,81.44
78.47,81.33
89.39,85.9
98.87,79.85
80.56,76.88
82.71,90.39
80.73,79.95
85.67,63.2
91.8,80.97
84.92,77.62
92.95,49.25
84.27,71.16
76.19,69.79
85.76,84.64
93.32,83.67
92.62,48.89
83.96,64.62
86.92,68.64
92.43,67.36
96.79,95.7
88.96,79.45
89.59,74.36
90.66,79.85
85.53,81.18
88.25,61.41
88.41,82.65
76.46,85.65
90.52,85.71
90.04,44.2
92.73,78.7
86.58,78.74
82.4,87.76
93.6,74.54
89.13,77.4
91.0,82.23
89.95,85.78
92.27,87.31
91.49,77.47
85.66,82.92
94.22,71.96
78.19,79.09
94.04,89.34
92.09,75.09
89.81,94.48
86.21,88.3
92.85,81.2
89.07,69.28
90.93,87.83
89.36,82.33
92.0,73.05
83.33,86.77
91.59,75.19
78.25,74.8
96.96,58.36
93.58,69.45
83.5,83.74
90.46,71.01
91.32,88.36
95.15,78.61
85.05,13.17
81.6,71.23
74.62,87.91
89.38,82.65
96.98,49.88
87.27,85.25
89.66,88.07
91.89,78.28
80.44,72.22
90.26,90.8
82.48,82.86
89.14,86.05
90.01,86.4
93.92,69.76
91.2,88.87
89.16,86.83
94.38,81.83
87.35,80.42
90.32,80.64
92.34,86.31
86.2,87.86
84.41,80.93
91.98,62.25
85.21,78.76
90.01,71.59
88.32,86.84
86.52,84.11
90.52,87.37
89.56,80.91
87.21,56.97
92.28,68.16
84.24,78.21
85.8,84.37
83.9,83.92
91.59,77.81
83.57,87.45
95.18,78.21
83.77,69.18
94.37,71.47
96.28,39.53
83.5,93.53
91.65,93.2
87.77,79.47
92.3,72.66
93.31,83.1
86.7,82.18
87.65,76.55
92.11,66.3
91.7,54.0
94.5,77.01
82.37,80.44
86.9,85.25
91.04,71.62
81.04,90.85
90.99,80.94
83.14,-12.05
81.3,47.5
86.84,88.85
84.84,65.22
87.89,69.86
89.14,84.96
88.85,85.08
91.0,69.86
82.6,81.7
94.41,75.19
94.2,96.71
79.24,80.71
84.43,86.44
87.16,69.22
88.15,63.07
91.94,84.02
90.56,40.03
76.85,72.12
82.79,76.84
89.51,70.0
84.05,81.25
91.77,73.41
89.49,90.71
90.31,69.62
92.95,84.35
92.09,75.85
88.58,76.6
87.43,91.12
84.74,76.89
85.21,38.83
92.33,80.07
87.91,61.36
91.74,75.21
75.88,77.59
84.32,39.62
92.56,76.96
91.5,82.64
91.55,71.62
88.55,67.44
87.0,80.61
86.59,74.24
87.9,87.9
82.25,80.89
92.87,76.85
82.82,77.67
90.86,64.63
84.38,65.02
86.7,-4.66
91.52,84.54
87.26,85.14
89.45,77.69
79.02,48.21
82.13,82.31
85.72,78.18
81.86,90.11
86.13,60.06
85.07,66.68
90.96,77.63
89.98,87.17
87.55,93.86
95.06,60.05
91.5,52.09
88.95,47.71
90.11,88.88
84.21,78.98
94.82,60.07
86.82,85.77
83.06,5.89
85.15,85.45
92.72,84.64
84.47,80.15
93.7,47.4
88.08,86.54
95.61,82.15
92.08,73.87
95.39,53.53
85.14,71.96
94.5,83.05
93.78,74.66
93.57,93.46
87.64,87.19
90.46,82.09
89.34,74.4
85.87,81.57
91.4,88.78
80.61,43.32
95.74,87.84
95.63,89.94
83.24,92.66
78.92,86.74
88.13,85.16
81.89,86.39
82.4,73.94
89.84,76.54
83.03,67.16
88.86,66.88
80.69,56.9
88.76,62.66
89.9,83.08
86.89,76.95
87.96,80.69
79.73,82.76
80.69,80.42
90.21,72.7
86.86,72.66
91.74,85.45
95.22,66.38
81.63,74.05
82.21,94.1
90.88,78.4
81.43,85.91
88.48,75.48
93.11,83.83
76.12,72.36
91.07,94.78
85.7,86.28
78.49,90.48
78.25,75.15
83.8,73.47
88.91,65.62
90.89,72.4
81.89,71.46
85.52,54.69
90.88,47.27
79.23,89.97
91.34,75.97
85.22,90.86
94.15,71.0
84.81,89.6
95.39,93.52
95.01,70.45
82.71,73.13
86.93,85.71
89.25,91.12
88.75,74.25
88.69,85.82
84.88,84.23
88.3,69.36
94.02,65.11
90.92,83.87
85.5,87.76
85.17,69.55
82.52,83.98
86.07,85.5
87.79,55.4
86.53,77.04
87.61,76.09
86.67,81.99
81.0,79.19
94.72,71.03
80.64,68.9
89.07,73.64
88.27,81.29
90.44,54.46
87.59,64.27
90.58,61.93
87.78,74.71
81.16,89.79
87.93,81.87
82.02,79.61
87.86,73.99
83.48,85.47
85.77,89.71
85.39,63.37
97.09,75.29
91.25,67.89
89.71,89.96
89.73,68.39
82.22,84.55
89.84,73.23
91.95,73.53
93.32,91.07
77.15,77.58
92.79,81.91
87.17,87.79
78.87,74.67
80.1,86.88
88.32,73.49
79.45,78.2
90.83,39.12
81.0,79.7
76.05,76.15
93.05,82.44
78.34,88.92
87.08,76.05
81.54,87.09
93.66,88.57
85.17,83.59
80.18,33.86
87.21,81.32
88.56,83.98
94.54,70.78
88.88,90.24
94.22,70.24
88.41,87.86
81.81,61.64
87.26,82.23
92.61,82.62
90.82,84.43
90.16,80.6
70.18,60.72
91.64,69.08
84.95,70.43
87.43,88.89
82.09,72.27
81.59,75.69
94.24,68.01
85.78,75.34
91.67,48.21
89.73,89.21
91.15,83.93
89.03,69.58
90.23,91.41
87.29,76.8
86.35,78.92
86.11,73.15
85.46,52.15
93.23,68.34
83.31,82.93
77.92,53.16
91.94,93.04
93.49,71.56
88.27,83.99
91.88,84.49
87.68,82.11
80.71,87.31
90.76,91.01
91.06,-161.07
95.09,63.75
94.52,88.78
85.43,82.81
83.83,78.47
82.94,91.03
94.91,76.84
86.5,62.22
89.42,86.21
92.69,53.95
83.77,76.07
82.76,86.65
85.7,74.11
88.08,81.95
73.41,84.82
85.35,77.51
86.71,48.62
88.39,71.14
91.98,86.73
82.76,62.57
89.46,76.41
92.98,79.93
88.78,87.09
85.58,76.21
81.61,88.19
87.62,76.2
90.57,47.4
90.61,91.28
90.61,79.37
91.08,69.63
93.24,71.47
91.42,57.63
81.53,77.15
81.91,84.94
81.89,76.35
96.76,86.23
90.94,66.13
83.59,75.58
85.34,67.38
90.43,73.19
93.76,82.8
80.65,27.68
90.86,86.89
78.11,87.53
94.96,58.31
83.09,72.82
94.07,87.44
92.84,82.3
71.25,62.6
88.84,87.42
87.13,89.25
90.23,70.12
88.51,73.75
80.11,79.12
90.35,74.93
75.17,78.62
93.95,86.49
91.25,83.67
85.37,86.1
92.21,96.15
83.47,42.18
80.62,87.94
98.11,87.92
98.33,90.64
91.31,66.58
77.73,84.73
91.07,71.78
93.36,90.42
90.63,73.4
89.22,83.38
85.31,52.15
84.28,86.34
91.39,89.07
92.6,70.91
91.14,74.27
82.02,65.23
86.07,81.96
79.35,91.75
84.21,76.43
92.44,83.98
85.37,46.04
88.04,74.92
90.63,63.78
87.32,90.62
90.37,86.34
87.23,87.47
82.72,69.22
91.32,90.04
93.95,65.45
88.8,54.53
87.34,82.76
92.26,76.81
89.36,76.42
93.31,85.71
83.22,84.77
94.07,45.18
93.93,48.04
92.14,79.06
87.29,63.44
89.19,33.53
90.49,70.18
85.49,73.49
94.32,91.33
90.83,77.7
90.29,94.34
82.24,79.8
77.09,81.35
86.22,84.23
92.69,50.22
76.71,80.6
88.0,80.26
89.41,90.27
83.23,28.87
81.03,90.65
88.73,88.81
86.06,85.86
96.79,67.59
91.72,71.58
85.11,71.13
85.54,89.9
88.63,91.56
86.92,43.05
92.49,91.88
89.66,90.97
94.38,69.22
91.77,1.12
86.87,69.85
88.9,66.95
86.13,43.75
79.18,78.84
82.27,78.1
77.96,75.17
81.58,94.86
88.22,62.31
86.29,66.22
90.29,71.04
87.04,71.45
84.58,74.84
84.87,71.83
93.02,53.73
87.99,95.98
82.13,63.31
92.15,80.43
93.27,78.74
87.09,81.04
93.96,88.43
86.13,92.27
84.29,67.64
78.23,58.62
83.68,86.15
74.65,48.48
92.16,74.11
91.3,84.16
91.18,80.97
89.84,68.02
94.52,74.22
84.89,85.8
89.39,80.3
85.82,66.35
93.94,82.86
84.65,76.52
85.77,75.29
76.94,81.34
91.43,82.0
92.54,82.16
91.69,87.96
82.22,57.88
93.63,77.87
86.15,64.98
80.75,84.89
80.91,94.66
90.21,71.25
93.83,54.17
84.03,65.15
90.79,68.8
78.37,80.5
81.76,78.5
90.86,76.41
89.95,44.44
96.23,60.6
85.27,56.49
88.59,64.0
90.23,48.54
88.72,89.9
95.95,59.71
94.93,64.86
86.2,81.15
80.24,62.7
82.9,66.64
88.12,86.59
85.81,89.55
88.52,80.07
90.4,91.89
81.31,83.79
89.81,61.1
89.56,73.98
79.7,42.56
87.93,85.45
87.78,82.19
93.69,68.53
91.85,55.02
82.15,81.11
82.62,94.55
82.37,85.84
97.02,73.17
81.87,58.2
75.43,69.7
86.31,86.3
97.62,86.34
84.72,95.66
90.9,87.09
89.78,87.84
83.59,68.48
88.87,50.17
87.54,89.73
91.56,87.54
90.27,43.06
79.34,86.73
84.69,73.1
86.93,71.12
82.96,69.85
86.69,82.03
95.79,82.1
89.74,90.04
78.32,77.36
96.54,91.25
92.52,76.43
79.75,76.48
88.38,88.91
79.4,76.97
80.84,29.98
90.42,61.52
88.87,84.32
82.01,82.25
