Train,Test
87.96,68.04
92.94,85.82
80.73,84.46
92.05,65.62
94.43,86.03
91.54,65.87
79.35,71.18
85.16,85.1
93.24,48.93
84.3,73.87
83.45,76.56
77.62,69.31
93.35,48.87
88.81,82.51
87.6,69.08
91.8,87.67
81.31,68.04
73.3,70.04
80.62,77.08
80.75,79.47
89.2,5.93
89.54,89.85
84.81,71.77
82.85,87.5
89.96,55.69
93.65,74.97
95.11,78.04
81.74,71.29
94.96,79.53
88.1,80.67
82.82,6.07
81.97,70.93
94.18,6.07
86.16,57.36
82.88,61.09
79.58,65.94
84.37,82.92
85.61,55.23
85.82,77.14
83.34,90.43
92.23,37.97
95.19,65.73
81.26,82.25
81.34,75.5
88.83,11.54
85.22,55.96
83.89,69.81
88.78,71.74
87.54,44.33
81.46,78.71
70.59,59.64
94.0,85.45
84.14,58.72
87.45,76.61
88.81,54.23
80.95,75.46
80.46,90.38
88.91,81.36
92.07,61.85
87.7,74.74
89.69,71.27
88.54,83.92
87.2,63.99
81.13,64.31
85.25,77.69
83.55,95.6
80.63,71.14
84.76,54.82
93.38,70.74
78.13,69.88
83.82,68.8
79.04,82.06
84.74,85.2
82.24,45.0
87.43,80.73
84.22,85.36
88.48,59.04
79.41,77.6
82.38,78.58
83.57,55.16
86.31,71.64
86.65,89.48
88.52,89.69
83.76,91.2
87.03,93.18
85.73,83.94
87.46,87.4
82.99,84.13
79.78,54.42
92.93,-21.52
83.25,39.9
81.92,86.51
82.16,80.88
83.33,83.19
74.5,85.42
83.85,78.88
81.98,84.84
89.17,73.05
87.4,64.41
80.42,22.96
