,BR12,BR16,BR13,BR29,BR23,BR21,BR51,BR50,BR31,BR15,BR41,BR22,BR43,BR11,BR14,BR42,BR35,BR17,BR25,BR27,BR32,BR53
1982-11-01,216.68466,42.2656,204.25784,22.248407,8.932349,38.847893,165.47697,189.74968,88.61389,78.4963,311.21994,32.098457,253.8261,187.6191,44.333588,286.91095,197.77823,125.91025,8.559911,4.710274,67.6103,144.35205
1982-12-01,268.53894,131.818,275.8102,75.407616,14.411004,97.59289,258.62012,232.0281,248.40363,159.95088,175.48898,82.227615,92.223564,245.71835,95.20693,123.42371,272.82504,225.24307,15.809034,32.08121,193.70438,272.70633
1983-01-01,243.86415,123.0149,150.59508,179.82593,20.380362,142.62929,311.24292,292.65732,386.55878,150.99965,172.27193,152.1058,143.6055,234.13953,26.37447,204.06346,317.2222,304.99097,21.714485,60.679222,242.28508,402.28735
1983-02-01,215.33405,123.477806,207.12178,161.94122,157.50252,214.07985,245.04343,128.03093,234.26555,197.39879,134.53693,183.11617,230.30598,233.70825,39.329693,231.90872,208.4856,254.53041,108.205055,122.15735,109.46055,281.5588
1983-03-01,246.99759,287.74832,293.9755,138.68466,144.34573,251.30061,250.58041,147.15103,211.87814,279.44287,180.27194,193.2648,121.97352,287.5313,96.324036,151.76855,211.06865,279.538,103.616196,118.678276,124.80812,251.74191
1983-04-01,170.85814,318.51443,302.3135,47.0297,77.62342,100.89182,83.120514,113.59465,116.53012,185.15749,173.10289,43.792614,164.30138,161.85606,348.1249,176.34258,153.6489,44.76685,50.144844,42.91727,109.48392,105.680145
1983-05-01,109.87519,152.9749,182.10957,28.235834,19.36222,50.55085,53.023705,144.39508,56.867622,94.69228,303.25375,8.8804245,218.42271,75.32041,211.07915,293.6391,216.79756,11.12089,40.69588,40.027115,53.52925,32.09766
1983-06-01,31.138527,131.40752,110.84339,25.76871,7.1343946,22.582287,7.4267054,39.67269,25.601622,69.11012,215.47336,3.036313,114.86359,9.696938,210.83139,181.90161,143.22446,0.80675405,28.016151,47.875916,36.171516,2.8321288
1983-07-01,27.412407,85.96999,91.44918,23.73663,2.6405973,7.751454,7.511525,37.7733,25.034925,34.186596,208.22122,0.21285121,270.12378,4.4067326,100.847885,587.708,40.4029,0.63956326,18.370663,49.835144,30.757223,20.792397
1983-08-01,32.591263,91.3341,142.12593,14.707092,2.1396685,14.479556,2.5512953,0.6585204,2.1742768,71.66139,10.715704,1.4309559,110.58695,7.238349,199.41689,109.471054,6.647129,5.5338206,27.13191,40.487476,9.273955,0.0856929
1983-09-01,69.74866,37.28384,118.213036,33.014473,0.22573254,17.488432,52.35776,80.41066,97.55415,58.116146,240.33072,2.302519,83.436646,39.971413,104.58166,170.14221,222.67831,37.512856,4.4151106,8.622226,186.06314,50.752342
1983-10-01,122.77631,23.850199,220.06035,46.06546,1.930812,48.527157,193.67218,141.54886,164.89217,115.3708,154.65543,16.9391,135.35472,121.35286,100.68809,110.87992,156.24194,153.45746,6.376493,18.371565,164.88231,153.78105
1983-11-01,232.43816,22.495142,191.81949,149.9515,0.5826482,69.46799,221.44841,170.0178,222.0568,83.2491,123.07768,102.025925,105.11505,197.89262,60.764618,154.4474,143.05547,210.3383,1.1592109,16.87812,182.05658,236.31984
