,BR12,BR16,BR13,BR29,BR23,BR21,BR51,BR50,BR31,BR15,BR41,BR22,BR43,BR11,BR14,BR42,BR35,BR17,BR25,BR27,BR32,BR53
1981-01-01,25.52412072572764,25.192194937087578,26.27801334735047,23.625455542497818,26.655565253912545,25.366259217709022,25.10029469027043,25.692402408517584,22.649506540006392,25.33888902951227,22.734583465409298,25.231275839294568,23.788005279126455,25.20195379927775,26.277936647328936,21.569416739497928,23.533633516418597,25.03780784198271,25.8294661525471,24.568594270511678,24.519975498045362,23.723847224278856
1981-02-01,24.71453456949703,25.119846971581893,25.78198819326872,24.082592750384237,26.430913496393224,25.74693321756115,25.76280638136643,25.81369591449467,23.27272907424435,25.35492906019102,23.25754652206143,26.30227074805716,24.50709941661764,25.13269236766541,25.46264769284488,22.225145859509066,24.274907532682963,26.007871376824628,26.328701569364323,24.78277536533734,24.398356572716253,25.144598728723427
1981-03-01,25.228270186759097,26.276838954101663,26.67051331017992,23.714289425370875,25.707575557168518,25.79446608763583,25.209104927116055,25.555699537853737,23.186627358915903,26.193724261652424,21.777994863908827,25.480291602085433,21.61055787934081,25.3798142315807,26.65012430593604,20.12507884514393,23.31926088068342,25.086300582171773,25.091989570819294,24.274204993083504,24.343591783286783,24.051800204802568
1981-04-01,24.84461254237239,26.19591618650492,26.328055837817473,22.325206176048763,25.659675631992382,26.306233688466303,25.713630621127535,24.00764111222372,20.80570474455281,26.324522533094328,18.87303239892681,24.889851377705387,19.330970052828484,25.383034385607083,25.783873947658275,17.230656710500842,20.85203348040891,25.891997091156657,24.93703390989708,23.115649468712363,22.056100486977265,23.5205429507553
1981-05-01,24.82735990621789,25.727924392365598,26.39723054018423,21.13923668397526,25.71537215580811,26.03455722146139,24.56861916937911,23.108306074919874,19.38174757455113,26.254588451273012,17.84634550899232,24.666835578922583,19.405972489429455,25.329518990181604,25.47808303149036,16.974685471044022,19.70860178996488,25.2628588430177,24.652022848366883,22.3115801352724,20.930178264384015,22.257761397658356
1981-06-01,23.03194214716319,25.777292927044076,25.80784871741848,20.673764261926227,25.532079889294526,25.810328203973715,22.71238079221803,18.448991448118488,17.380724662193384,26.015728854150467,13.656173711875102,24.210584770902987,12.542469941405185,23.321859739372663,25.31735617826406,12.302435897343116,16.297604962445085,24.05069417033076,23.673823107495554,21.66751934942771,19.485195533212167,20.309030040958614
1981-07-01,22.401064595821598,25.29840782850795,25.18133029378649,19.92748604032093,25.311518749573814,25.86682299350896,21.479820791803714,17.198450615978302,16.69819201195553,25.262817245861545,13.089268587835273,24.044006545192627,13.761714705407826,22.709494549365328,24.66353601155006,11.912369313594809,15.004635236474948,23.741191278221272,23.051985259718332,20.685206305489427,18.583539254152438,19.187709904475
1981-08-01,24.035497433234582,26.071794448238037,26.124996313058954,21.110994329138112,25.641477611926742,26.741645096368014,24.559748474445755,22.424106397652007,19.248277675882154,26.098350740947996,16.907325798945315,25.4091043101261,15.960564908032312,25.22357936183168,25.467182485632218,14.687852907866295,18.940422493414385,25.419652047651024,23.281716662956498,21.17625363549028,19.837709644110078,22.96619327823628
1981-09-01,24.052198270259343,26.194582761050416,26.04542688844285,22.700272228284934,26.294543873504356,27.680143774693274,25.44782778565393,23.030068230287185,21.677414091218093,26.437744537498254,18.703455998990773,26.831252268270152,15.886450040744247,25.076095369439155,25.419036868258452,15.814329756470084,21.465311823339484,27.31401005649193,24.336999732075462,22.053960370422725,21.213422860627723,25.197915436218935
1981-10-01,25.276473191517333,26.59508322708358,26.665164011348935,23.993602589277813,26.985984950317892,27.1805226144637,25.427835001513635,23.82395822720723,21.06338923652699,26.410369039010376,18.215572135733886,27.104970596688986,17.686905807126102,25.442473833040975,26.345107177220665,16.18574772422058,19.855769187645578,25.968720612220913,25.706215428706486,24.651726525395112,20.93099304287022,23.471906068800074
1981-11-01,25.600607014818216,26.68998829572259,26.797871157464545,23.753470931616512,27.218223286644463,26.925169204161694,25.39201182714439,26.051748631311046,22.09069625723256,26.32519082834874,21.547270035701818,26.917644662326914,21.9255261042033,25.512353002695612,26.928393503079644,19.634968181631304,22.894646104972573,25.238511865548958,26.20496676096001,25.154770610180307,23.227479163248635,23.435798566530963
1981-12-01,25.423061645901733,25.90428177645957,26.347931141678266,24.44273181796778,26.84655248906369,26.52730078606631,25.74742538549915,25.030685945961643,22.593185814375524,25.968283353974613,20.614889666383426,27.12763905514212,22.093411798560137,25.43325798049299,26.275538602287146,19.454498748256736,22.215402336265022,25.91556146857179,26.055018595807937,24.91300025129135,23.575605391275282,24.279576243247107
1982-01-01,25.334042417025657,24.589692289366933,26.038806286247812,23.732643261684885,26.768816491264285,25.325181105967665,24.67522282833093,25.825780868429618,21.911743269337073,24.85424798573053,22.260175310067115,25.216071483786855,23.280569570598967,25.0943619607262,25.660372075516943,20.53051741529796,22.449709976994864,24.602721929095434,26.666531525492577,25.117530294859957,23.414438716572796,23.094093814845674
1982-02-01,25.046476174757025,24.80651416245968,26.03688574554083,24.08129271484998,26.010213472797084,25.04017921081948,25.29373939363307,25.25082927646884,23.209940969565952,24.99846391777811,22.7721511364671,25.69389288456687,23.223753889760776,25.265856086733915,25.585442754698384,21.438607698311642,23.8475793901922,25.337436073502005,26.072008747582736,24.903755193337783,24.345710219834235,24.43746093648122
1982-03-01,25.311437115599347,24.9520034115895,26.278393186035423,24.635486629020704,25.417485022176443,25.47056960294958,25.160057783216292,24.39250813931596,22.575124106244232,25.432101461340498,21.339154797548094,25.20066672251273,22.49666940114932,25.432553045757366,25.9993472913878,20.079397312906703,22.26206930309484,25.471612088223786,26.146420540121525,25.526944441826682,23.881038652468085,23.933285804722846
1982-04-01,24.925859383263393,25.180670225365684,26.100439981492993,23.237256565780747,25.313167703101445,25.591979246283973,25.03525059055615,23.35258728376783,20.411768467835007,25.454851702193285,18.70721101076873,25.098933460062725,19.861515740205466,25.001801556758004,25.682167085958916,17.118198847182523,19.991839479857788,25.55922749145207,25.863114479909097,24.241890981338727,21.652509645572216,23.01333767485196
1982-05-01,24.344418460329454,25.503230473850323,25.949371534735565,22.181817229166217,24.849351351106513,26.083943604956275,23.731775062919585,21.11471385095267,18.75269507510619,25.81899903790429,15.841637591619047,25.495200290852466,16.693949639199555,24.295281524060204,25.627249677536593,14.461496960496465,17.732313260319206,25.56088154011719,24.508907231694884,22.360339418910915,20.133745481259247,21.570513080723654
1982-06-01,23.98750950143851,25.824465750125807,26.09478733856664,21.788199730116755,25.011218189315777,25.83398806057435,23.828643097948948,20.71975827716905,19.113121427463813,25.938149808537098,15.753292310766971,24.951747792326834,14.730719791615186,24.001732798632837,25.7973224071418,14.282713660845578,18.381764568430505,25.332520284473162,23.820866576175302,21.934600219711093,20.795019541132284,21.993232828568534
1982-07-01,24.235862064083747,25.669670973737755,25.948836465450395,21.361107849698406,25.125515147114584,25.934185253435658,24.198196059278935,21.098004960162154,18.652573361698135,25.8662215593731,15.903127084392121,24.919508167244455,14.780619322280174,24.58433189535204,25.418528613970555,13.870546626342474,17.83457706776585,25.14832546245331,23.441887435023133,21.316323138635962,19.972711615704064,21.704276976877555
1982-08-01,23.918609438041816,26.27125918215904,25.817911061312728,22.128042631620218,25.4846868994017,26.52811505212764,24.53195935460439,22.217090505779584,20.30856431992546,26.120495913589487,17.535463426254513,26.057550628612027,16.012595215267886,24.884996486295822,25.74681901089135,15.518922883819801,19.249204753329817,26.05778324583037,23.46769183091172,21.642641101218747,20.59642209907047,23.274693938080905
1982-09-01,24.754812434476776,26.531069563615684,26.557407542473026,22.97201499412578,25.9783164660202,26.955509336162027,24.288941249207507,23.28965603920062,21.178994629492745,26.27076386056351,18.892713335097785,27.093679253634,17.78211169344371,25.01283942243972,26.773812042122536,16.550063416775338,20.581643911991392,25.864712282533652,24.58057908713559,22.848663832499422,20.4262868565269,23.60671790439916
1982-10-01,25.423540030700032,26.629221206232206,26.897639483721125,24.14038128750502,26.088082951557894,26.653469621608018,25.378759368970595,24.38947556135678,22.78368699702792,26.77834572384911,19.16081506369891,26.722162801335656,17.82484980828723,25.71225664671153,26.901824168601006,16.684753980570797,21.255040049218007,25.890655906826222,25.094127775086385,23.921361049853292,22.309173767879372,24.151694101115794
1982-11-01,25.275074513733827,26.351553824016985,26.924441551308288,25.23009617133037,26.748022303163957,27.057786584006013,25.840933778929823,25.785809412051726,24.656433407454,26.812946408394396,20.925506952224517,27.619976228654007,20.21328334268916,25.79696860459502,27.395968246364585,18.394056736655752,23.330099256426987,25.910438386995935,25.7794545793314,24.89579876552727,24.31645138569981,25.02689430376505
1982-12-01,25.28178818674222,26.143081210053463,26.268438552345938,25.001064117142366,27.171751971397967,26.936955764430177,25.279050499879908,24.5945866356793,22.98245607769767,26.12246841524313,20.80075172389374,27.524536456948915,22.407936044141884,25.239284290026426,26.40939228527739,20.02496031067059,21.749397016340936,25.48344535708099,26.021363742353444,25.034821824066626,23.61927749400164,23.549014381142992
1983-01-01,26.57370422097687,25.975921607318153,27.6957413330327,24.382429576702403,27.759410929101687,26.89550816925173,25.56032468297602,25.732147951827944,22.429377844168,26.70773421792201,23.148413765696354,26.80246316901029,24.554325180506932,26.244935081226892,26.944811846629953,22.109286477827684,23.55572740328197,25.55022793876246,26.589742194978996,25.867188520981657,24.471298309508466,23.480707155000143
1983-02-01,26.123168293331105,25.974139933775827,27.461671673990704,23.64083068117135,26.337812589669475,26.0811792903297,26.1381156691086,25.875277976360227,22.991168239781743,26.494999366629088,22.823781743275646,25.66954940664626,23.433983900678275,26.2408148436168,27.480308260056447,21.417608563535357,23.791424294371414,25.909061037324975,26.12277917910727,24.641724850559854,24.93863736429222,24.322856823226033
1983-03-01,25.98160376800685,26.118773383919773,27.24717012329816,24.155590612939935,26.870344060951407,26.154626721693855,25.632913901326123,24.991282011928,22.59267994394201,26.35467107201135,20.783899252355727,26.458732723513975,20.888922036834263,26.087404271298674,27.62226309035195,19.536424063137382,22.361587642381842,25.771935950716585,26.68277689296553,25.144638457394397,24.388008382148982,23.999050094135757
1983-04-01,25.932206934414125,26.064460102790026,26.881401298773984,23.707711781271566,26.814114704981815,26.793107888426604,26.33021480515391,24.386086946240123,21.75345688271889,26.722699216471497,19.635196721028382,26.413888569873126,18.777890839448798,26.179171146268573,26.252032986967116,17.817559665017587,21.468069697646126,26.929070563457913,26.556140478353463,24.58202074024829,23.12139352575946,24.120282097242576
1983-05-01,25.542870374707483,26.831090328537396,27.15190222956898,23.100604212483642,27.07536493047036,26.985889093825367,25.550411469602007,22.90046052423716,20.8810998396977,27.088446670760764,17.655467620696157,27.225155035840885,16.55205209525173,25.6418109375792,26.948147210926845,16.073962588507577,20.05356113115545,26.884162419779127,25.666868154301696,24.17050694825979,22.515336771808542,23.29020492734078
1983-06-01,23.00679184502521,26.62122964279165,26.00861358675954,22.068089753005797,26.23315209873278,26.33959656153331,23.172886706823213,18.412854924313127,19.387963450974716,26.260522632632824,13.534817092501408,26.126363559129192,11.881332260491572,22.926540966510125,26.194023601818834,11.915120182045674,17.105879602573836,25.76331013340751,24.418662566494955,22.657249830682236,20.975577297220912,21.686741834359488
1983-07-01,24.169632065406283,26.625230833096207,26.350755243749504,22.0142446391286,25.929662848511274,26.378233651286052,23.907096670405316,20.33125476729288,19.101493842466933,26.427696189187454,16.217652609317216,26.07214985245493,12.595249186836266,24.18808953882673,26.448355644579152,13.149296619953743,18.531799715168432,25.88627806497217,23.949599577405035,22.16368096979122,20.41213296048105,21.965585580672585
1983-08-01,24.296189315516624,26.886604116144614,26.11283712686761,22.049017489048314,26.091283386601923,27.10344192986497,24.22133664915576,20.91017128728329,19.254654993915473,25.996348604364073,16.54823689359422,26.878416844042107,14.57229629519374,25.163975433006684,25.86806436605331,13.967309921727836,18.658661344020928,26.492852038122514,23.946462305578823,21.898642610660463,19.691991126818948,22.650599849358354
1983-09-01,24.944051721977132,27.054792347153292,26.743694088127036,24.28480644592284,26.593269961099658,27.647955623462313,25.25320145043561,21.591638800836336,21.47255962769272,26.66008919204685,15.835430012329478,28.350281575587594,14.495404089188156,25.501691874702647,26.472654229190397,13.350483185630395,18.435464222259988,27.40715968591374,24.94668439062177,23.661779917772332,20.64389712789161,24.493284492664667
1983-10-01,25.348934966323366,26.64721617577132,26.36797564893693,23.991584546872055,26.705372459746393,27.062899983006858,24.736887919236164,23.453518721468296,21.41272344738371,26.28003765748439,19.03542431846638,27.765594548435832,18.870454086885616,25.2460944649481,26.406334071528587,17.162188469559876,20.340073661116463,25.500426142270367,25.241398399349862,23.99699023863977,21.95932484442931,23.383194167241847
1983-11-01,25.38940369744495,26.36261466916514,26.638019662358367,24.062719327882334,26.89072108604246,26.968640369193086,24.973819809624022,24.36944393780187,22.02734366801578,26.4969716281175,20.757126267588703,27.28155917494223,21.58172693092781,25.32485036932596,26.75666557279047,19.202930860095194,22.27179050105808,25.4304956565056,26.026879373429832,25.472175553326853,23.447777654368082,23.215503921802895
1983-12-01,25.206112221389507,25.719553544506255,25.838401212831,24.004225506174947,27.406030454151026,25.933947234408276,24.807406719048817,25.087036480693346,22.154344057189157,25.346248491113645,22.007669333244184,25.85133537396796,23.84188144683572,24.928484166424287,25.88111271553401,20.839187604813322,22.473311933913447,24.775526730010483,26.50615077214389,25.46592573204599,23.956080863409696,22.9222609115611
1984-01-01,24.7273951358926,24.64854209147934,25.60018137848256,24.838677602459768,26.74912844679678,25.18310600754916,25.136494450690282,25.915799586458313,24.039345486961427,24.882365536853523,23.98218241287296,25.443703108170205,24.87461560300594,24.78546324236941,25.192209625178,22.693220976323612,24.967730622189475,25.170708711037843,26.486828836663534,25.758020184149053,25.670958085379596,24.220306122250054
1984-02-01,24.59889600619492,24.40456815135177,25.42622975755551,25.539056993877256,26.567150307807808,25.052691474260378,25.41382851273418,26.262739398844666,24.435956592145832,24.7590357445448,24.838548256898367,25.541116464304412,25.453163748025577,25.242897040365833,25.418029743352026,23.475104729275586,25.35650359730311,25.07837091254123,27.169470675069533,26.587292548801983,25.68945218949105,24.53402006881447
1984-03-01,25.123644164766176,25.059939121694082,26.231573036205656,24.67678553515811,25.02272993912541,25.09992767702106,25.273793235554944,25.846554840262012,23.53860203139428,25.216367409223263,21.979133304524375,24.831153370611784,22.411881760838988,25.458021849234587,26.6233647419043,20.296363091004633,23.537713051131213,25.001279602500624,25.61554158510561,25.435975125673693,24.744924031374406,24.166981138318338
1984-04-01,24.69377192511919,25.022551566232163,26.043003132245428,23.22154232685594,24.542359404466918,24.817464260326673,24.644865169461568,22.994155560535084,21.53245640063001,25.01902934662701,18.476813069110875,24.29411773473857,18.139679269262,24.64827217493441,26.67566684375082,16.831042643945597,20.935125183039037,24.880960143257248,24.4369367994892,23.61678577997017,22.84443000176935,23.253100884546424
1984-05-01,24.539390036803415,25.321910885113727,26.07718426029845,22.482441364118415,24.05572610478775,25.162263541686393,24.39178206544391,22.77227879942326,21.289405657017944,25.37378768383291,18.03472409912009,24.225887219142415,17.117335478788807,24.64185467383632,25.761886378537422,16.566179865666175,20.48409993352272,25.21638311942197,23.837789526502497,22.771154863770338,22.92264100838487,23.126784026269092
1984-06-01,23.413964287838404,25.397500947994217,25.68334026565357,21.771027669537347,24.06846207537075,25.128038675299795,22.988157265222323,20.61779817820657,19.559758444673967,25.426795580354085,16.146669793262294,23.79351185980295,13.587760022786753,23.89595869809753,25.077184986380644,14.077928573275662,18.799676283487248,24.377077976104342,23.836550931822856,22.017835342461197,21.268888522183385,21.414485888086148
1984-07-01,23.366993234235373,25.60592158248164,25.508209015818455,21.366486745391164,24.6004756410976,25.425761997371293,23.59327299714896,21.441978526512987,18.88884238721969,25.422838195820137,16.07769173475121,24.16286363614646,13.76593968600292,24.559753001845163,24.939233794337092,13.43720275644473,18.54316983337775,24.80529442907578,23.17065229819693,21.30782899326743,20.284159534574826,21.48350690598175
1984-08-01,23.41061119468843,26.074954152201652,25.651065092385732,22.294237534830785,25.520287916441987,26.226501453156295,23.579659056676995,20.16503835180994,19.56358963116705,25.83567584884658,14.91033792933041,25.807272360320574,12.293226828451798,24.556017682041876,25.62365552553205,11.855123907071908,17.495430726350452,25.87420339306463,23.909319321642585,22.092222236036164,19.984957716249838,22.351632860821407
1984-09-01,24.585329588617146,25.924015439437728,25.9129187581628,23.34986656120173,26.103622060810512,26.35996363175969,24.19586006499859,22.230513228011567,20.589933000717103,25.11170370197894,17.315244505845108,26.56717157610163,15.692810023947938,25.012024348623346,25.737065014255496,14.814976593097091,19.113582562697907,25.901108672753313,24.786705835995683,23.17107830835153,20.662891651135215,22.811109813589525
1984-10-01,25.291351811990015,26.345740668815782,26.422783058604935,24.150351637079314,26.70863552534597,26.781488028705407,25.73724022022404,26.5247948345135,22.644122237189684,25.826727031389908,21.312179510147235,26.752119757398695,19.94825097926836,25.832409930089586,26.166809074963442,18.709694066891906,22.76070742859209,25.77724202491845,25.54408739926009,24.293154915547976,22.388561120036357,24.860931475025147
1984-11-01,24.956287627503443,25.803621834143268,26.489533397752126,24.599281646193532,27.16116873163349,26.78039393138901,25.66143331762188,25.948236408998,23.162359068202964,25.777942976793447,20.909033404139137,27.068090560955795,20.810351366733478,25.43345818615534,25.884229226601622,18.274038434799618,23.07755072932495,26.357684004902005,26.31190082126323,25.02357883729272,23.063093296541687,24.895316693320236
1984-12-01,25.18986443994863,25.802132070850025,25.96981552871915,25.140478212934458,27.493800573097268,26.45308627496266,25.299269131998493,24.962797114227644,22.656694475187194,25.4714048623889,21.148722942407087,26.88939342299384,20.92474903658862,25.25698851389072,25.704692525808593,19.214544678944403,22.271807435514635,25.631498357675998,26.829740678631897,26.175971982592458,23.405309760765462,23.971772013334625
1985-01-01,25.117670944566218,24.630465874004944,26.164544928601465,23.504721828248844,25.60425711445002,24.773108693097857,24.52574977003628,25.630321279066003,22.009766323712654,24.680685828062998,22.831682384215526,24.55534483482064,24.04348936294213,24.997965386342592,25.74806162197503,21.463056989585763,22.752014773024523,24.143182867554017,25.67488257141532,24.947193756023513,23.806558282500625,22.771204540507505
1985-02-01,24.746011730203044,24.591861317652643,26.17522283134154,23.912754905749384,24.2927256817137,24.308216408409308,25.460315351783343,26.152232174805583,23.75381818872031,24.564033635463147,23.23253015336657,24.171382734425965,23.886534722244114,25.082199137392884,26.106817905785945,21.671851259547697,24.122895284659087,24.71861647030099,24.530944370659334,24.300840989841948,25.33780522406596,24.555617867088177
1985-03-01,25.058325189326524,25.390697883153454,26.530180664286835,24.173719024132062,24.697654683458452,25.202375261314646,25.250839440119446,25.3156963882608,23.221624215190783,25.34223106351458,21.893888298253014,24.85995065939226,22.32251029295397,25.514945258417203,27.343751576767747,20.796909085099838,23.20727225479101,25.09448255323768,24.54345790712491,24.344875691838453,24.962892449535175,23.998129646655865
1985-04-01,24.845401781497436,25.609060265270234,26.603833112941963,22.977588181310058,24.080880800550062,24.6149453143702,24.877865428517566,24.21250157989274,21.868097455649472,25.3055225016945,20.074809777031703,23.928380416689574,19.18002219228129,24.916963624300166,27.769650340785713,18.352526737870466,21.916630580553925,24.744665675343168,23.90757135685209,23.045139567781305,23.40367844468203,23.36526309576699
